"",BBK01.OEAE03N,BBK01.OEAE03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:34,
2002-01,7.743,
2002-04,7.885,
2002-07,7.316,
2002-10,7.110,
2003-01,7.182,
2003-04,6.897,
2003-07,6.564,
2003-10,6.780,
2004-01,6.570,
2004-04,7.074,
2004-07,6.747,
2004-10,6.953,
2005-01,6.693,
2005-04,7.172,
2005-07,7.276,
2005-10,6.906,
2006-01,7.084,
2006-04,7.885,
2006-07,8.628,
2006-10,8.358,
2007-01,8.363,
2007-04,8.863,
2007-07,9.084,
2007-10,8.969,
2008-01,9.234,
2008-04,9.904,
2008-07,9.259,
2008-10,9.193,
2009-01,8.332,
2009-04,8.343,
2009-07,8.989,
2009-10,8.000,
2010-01,7.764,
2010-04,7.356,
2010-07,7.478,
2010-10,7.841,
2011-01,7.529,
2011-04,6.925,
2011-07,6.923,
2011-10,6.579,
2012-01,7.016,
2012-04,6.893,
2012-07,6.573,
2012-10,6.842,
2013-01,6.007,
2013-04,6.677,
2013-07,6.158,
2013-10,6.228,
2014-01,6.174,
2014-04,6.430,
2014-07,6.280,
