"",BBFN1.M.DE.N.1.L.DK.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DK.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:16,
1994-07,0.402,
1994-08,0.480,
1994-09,0.543,
1994-10,0.572,
1994-11,0.589,
1994-12,0.535,
1995-01,0.535,
1995-02,0.534,
1995-03,0.553,
1995-04,0.529,
1995-05,0.548,
1995-06,0.552,
1995-07,0.529,
1995-08,0.539,
1995-09,0.543,
1995-10,0.525,
1995-11,0.535,
1995-12,0.459,
1996-01,0.418,
1996-02,0.412,
1996-03,0.468,
1996-04,0.457,
1996-05,0.476,
1996-06,0.472,
1996-07,0.466,
1996-08,0.484,
1996-09,0.502,
1996-10,0.528,
1996-11,0.559,
1996-12,0.522,
1997-01,0.512,
1997-02,0.495,
1997-03,0.522,
1997-04,0.486,
1997-05,0.492,
1997-06,0.545,
1997-07,0.522,
1997-08,0.538,
1997-09,0.592,
1997-10,0.559,
1997-11,0.562,
1997-12,0.551,
1998-01,0.583,
1998-02,0.588,
1998-03,0.623,
1998-04,0.594,
1998-05,0.559,
1998-06,0.602,
1998-07,0.574,
1998-08,0.581,
1998-09,0.582,
1998-10,0.620,
1998-11,0.623,
1998-12,0.642,
1999-01,0.626,
1999-02,0.611,
1999-03,0.610,
1999-04,0.642,
1999-05,0.648,
1999-06,0.673,
1999-07,0.663,
1999-08,0.642,
1999-09,0.679,
1999-10,0.687,
1999-11,0.716,
1999-12,0.748,
2000-01,0.626,
2000-02,0.690,
2000-03,0.694,
2000-04,0.700,
2000-05,0.688,
2000-06,0.764,
2000-07,0.727,
2000-08,0.764,
2000-09,0.797,
2000-10,0.743,
2000-11,0.784,
2000-12,0.830,
2001-01,0.730,
2001-02,0.774,
2001-03,0.764,
2001-04,0.722,
2001-05,0.713,
2001-06,0.780,
2001-07,0.751,
2001-08,0.773,
2001-09,0.889,
2001-10,0.889,
2001-11,0.909,
2001-12,0.912,
2002-01,0.806,
2002-02,0.826,
2002-03,0.800,
2002-04,0.794,
2002-05,0.785,
2002-06,0.885,
2002-07,0.827,
2002-08,0.843,
2002-09,0.904,
2002-10,1.041,
2002-11,0.953,
2002-12,0.957,
2003-01,0.868,
2003-02,0.871,
2003-03,0.875,
2003-04,0.825,
2003-05,0.840,
2003-06,0.925,
2003-07,0.906,
2003-08,0.847,
2003-09,0.907,
2003-10,0.914,
2003-11,1.125,
2003-12,0.861,
2004-01,0.722,
2004-02,0.710,
2004-03,0.804,
2004-04,0.784,
2004-05,0.760,
2004-06,0.807,
2004-07,0.741,
2004-08,0.763,
2004-09,0.782,
2004-10,0.783,
2004-11,0.906,
2004-12,0.889,
2005-01,0.717,
2005-02,0.764,
2005-03,0.751,
2005-04,0.761,
2005-05,0.759,
2005-06,0.759,
2005-07,0.761,
2005-08,0.891,
2005-09,0.894,
2005-10,0.915,
2005-11,0.966,
2005-12,1.105,
2006-01,0.841,
2006-02,0.872,
2006-03,1.022,
2006-04,0.960,
2006-05,0.947,
2006-06,0.905,
2006-07,0.887,
2006-08,0.918,
2006-09,0.914,
2006-10,0.959,
2006-11,0.980,
2006-12,0.986,
2007-01,0.809,
2007-02,0.773,
2007-03,0.867,
2007-04,0.861,
2007-05,0.883,
2007-06,0.856,
2007-07,0.829,
2007-08,0.920,
2007-09,0.992,
2007-10,1.040,
2007-11,1.063,
2007-12,1.105,
2008-01,0.986,
2008-02,1.025,
2008-03,1.070,
2008-04,1.093,
2008-05,1.054,
2008-06,1.137,
2008-07,1.011,
2008-08,1.019,
2008-09,1.226,
2008-10,1.144,
2008-11,1.226,
2008-12,1.184,
2009-01,0.919,
2009-02,0.851,
2009-03,0.948,
2009-04,0.871,
2009-05,0.878,
2009-06,0.824,
2009-07,0.762,
2009-08,0.819,
2009-09,0.880,
2009-10,0.989,
2009-11,1.027,
2009-12,1.103,
2010-01,0.896,
2010-02,0.821,
2010-03,0.962,
2010-04,0.871,
2010-05,0.879,
2010-06,0.941,
2010-07,0.864,
2010-08,0.922,
2010-09,0.993,
2010-10,0.988,
2010-11,1.062,
2010-12,0.869,
2011-01,0.815,
2011-02,0.874,
2011-03,0.868,
2011-04,0.829,
2011-05,0.905,
2011-06,0.989,
2011-07,0.923,
2011-08,0.864,
2011-09,0.926,
2011-10,0.952,
2011-11,1.060,
2011-12,1.092,
2012-01,1.048,
2012-02,0.997,
2012-03,0.992,
2012-04,0.916,
2012-05,0.848,
2012-06,0.854,
2012-07,0.821,
2012-08,0.862,
2012-09,0.891,
2012-10,1.350,
2012-11,1.370,
2012-12,1.235,
2013-01,1.148,
2013-02,1.214,
2013-03,1.250,
2013-04,1.270,
2013-05,1.034,
2013-06,1.033,
2013-07,1.080,
2013-08,1.159,
2013-09,1.193,
2013-10,1.192,
2013-11,1.185,
2013-12,1.044,
2014-01,1.435,
2014-02,1.378,
2014-03,1.483,
2014-04,1.494,
2014-05,0.976,
2014-06,1.011,
2014-07,1.010,
2014-08,1.027,
2014-09,1.126,
2014-10,1.146,
2014-11,1.048,
2014-12,1.031,
