"",BBK01.OEHB18O,BBK01.OEHB18O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:24,
2002-01,0.933,
2002-04,0.925,
2002-07,0.963,
2002-10,0.929,
2003-01,0.895,
2003-04,0.913,
2003-07,0.912,
2003-10,0.861,
2004-01,0.820,
2004-04,0.821,
2004-07,0.825,
2004-10,0.762,
2005-01,0.752,
2005-04,0.756,
2005-07,0.732,
2005-10,0.721,
2006-01,0.701,
2006-04,0.697,
2006-07,0.714,
2006-10,0.676,
2007-01,0.647,
2007-04,0.654,
2007-07,0.659,
2007-10,0.626,
2008-01,0.606,
2008-04,0.619,
2008-07,0.619,
2008-10,0.619,
2009-01,0.623,
2009-04,0.599,
2009-07,0.588,
2009-10,0.564,
2010-01,0.559,
2010-04,0.551,
2010-07,0.561,
2010-10,0.533,
2011-01,0.534,
2011-04,0.536,
2011-07,0.534,
2011-10,0.520,
2012-01,0.514,
2012-04,0.502,
2012-07,0.496,
2012-10,0.492,
2013-01,0.466,
2013-04,0.465,
2013-07,0.488,
2013-10,0.468,
2014-01,0.462,
2014-04,0.457,
2014-07,0.441,
