"",BBK01.OEAH46I,BBK01.OEAH46I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:37,
2002-01,1.377,
2002-04,1.275,
2002-07,1.197,
2002-10,1.133,
2003-01,1.073,
2003-04,0.966,
2003-07,0.892,
2003-10,0.840,
2004-01,0.801,
2004-04,0.739,
2004-07,0.701,
2004-10,0.756,
2005-01,0.720,
2005-04,0.726,
2005-07,0.703,
2005-10,0.875,
2006-01,0.897,
2006-04,0.916,
2006-07,1.000,
2006-10,1.256,
2007-01,1.260,
2007-04,1.444,
2007-07,1.548,
2007-10,1.689,
2008-01,1.718,
2008-04,1.721,
2008-07,1.826,
2008-10,1.656,
2009-01,0.947,
2009-04,0.688,
2009-07,0.513,
2009-10,0.396,
2010-01,0.367,
2010-04,0.318,
2010-07,0.266,
2010-10,0.392,
2011-01,0.408,
2011-04,0.437,
2011-07,0.445,
2011-10,0.398,
2012-01,0.447,
2012-04,0.395,
2012-07,0.357,
2012-10,0.272,
2013-01,0.212,
2013-04,0.196,
2013-07,0.174,
2013-10,0.176,
2014-01,0.216,
2014-04,0.227,
2014-07,0.231,
