"",BBK01.OEBI08I,BBK01.OEBI08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:00,
2002-01,4.249,
2002-04,3.718,
2002-07,3.649,
2002-10,3.799,
2003-01,3.746,
2003-04,3.673,
2003-07,2.858,
2003-10,2.897,
2004-01,2.848,
2004-04,2.809,
2004-07,2.940,
2004-10,2.985,
2005-01,5.602,
2005-04,5.599,
2005-07,5.595,
2005-10,5.690,
2006-01,5.630,
2006-04,5.589,
2006-07,5.469,
2006-10,5.948,
2007-01,6.174,
2007-04,6.113,
2007-07,6.109,
2007-10,6.184,
2008-01,6.153,
2008-04,6.283,
2008-07,6.184,
2008-10,6.622,
2009-01,6.807,
2009-04,7.001,
2009-07,7.370,
2009-10,7.582,
2010-01,7.447,
2010-04,7.326,
2010-07,6.825,
2010-10,6.895,
2011-01,6.760,
2011-04,6.593,
2011-07,6.534,
2011-10,6.622,
2012-01,6.966,
2012-04,6.902,
2012-07,6.916,
2012-10,7.067,
2013-01,7.041,
2013-04,7.024,
2013-07,6.968,
2013-10,6.986,
2014-01,6.938,
2014-04,6.893,
2014-07,6.994,
