"",BBFN1.M.DE.N.1.A.GR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.GR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Greece,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:23,
1994-07,0.629,
1994-08,0.699,
1994-09,0.716,
1994-10,0.707,
1994-11,0.742,
1994-12,0.750,
1995-01,0.759,
1995-02,0.800,
1995-03,0.774,
1995-04,0.788,
1995-05,0.783,
1995-06,0.792,
1995-07,0.764,
1995-08,0.717,
1995-09,0.736,
1995-10,0.730,
1995-11,1.031,
1995-12,0.723,
1996-01,0.741,
1996-02,0.746,
1996-03,0.793,
1996-04,0.788,
1996-05,0.784,
1996-06,0.791,
1996-07,0.775,
1996-08,0.781,
1996-09,0.745,
1996-10,0.766,
1996-11,0.800,
1996-12,0.758,
1997-01,0.776,
1997-02,0.821,
1997-03,0.871,
1997-04,0.886,
1997-05,0.874,
1997-06,0.877,
1997-07,0.844,
1997-08,0.834,
1997-09,0.870,
1997-10,0.917,
1997-11,0.931,
1997-12,0.930,
1998-01,0.919,
1998-02,0.970,
1998-03,0.949,
1998-04,0.990,
1998-05,1.013,
1998-06,1.078,
1998-07,1.072,
1998-08,1.039,
1998-09,1.095,
1998-10,1.107,
1998-11,1.088,
1998-12,1.067,
1999-01,1.038,
1999-02,1.129,
1999-03,1.141,
1999-04,1.157,
1999-05,1.212,
1999-06,1.220,
1999-07,1.173,
1999-08,1.183,
1999-09,1.244,
1999-10,1.332,
1999-11,1.370,
1999-12,1.382,
2000-01,1.225,
2000-02,1.264,
2000-03,1.345,
2000-04,1.326,
2000-05,1.402,
2000-06,1.399,
2000-07,1.365,
2000-08,1.351,
2000-09,1.415,
2000-10,1.466,
2000-11,1.480,
2000-12,1.490,
2001-01,1.450,
2001-02,1.371,
2001-03,1.424,
2001-04,1.441,
2001-05,1.446,
2001-06,1.527,
2001-07,1.417,
2001-08,1.443,
2001-09,1.462,
2001-10,1.565,
2001-11,1.608,
2001-12,1.555,
2002-01,1.507,
2002-02,1.516,
2002-03,1.476,
2002-04,1.567,
2002-05,1.564,
2002-06,1.588,
2002-07,1.493,
2002-08,1.456,
2002-09,1.462,
2002-10,1.514,
2002-11,1.476,
2002-12,1.543,
2003-01,1.540,
2003-02,1.544,
2003-03,1.580,
2003-04,1.457,
2003-05,1.421,
2003-06,1.413,
2003-07,1.393,
2003-08,1.389,
2003-09,1.377,
2003-10,1.432,
2003-11,1.470,
2003-12,1.465,
2004-01,1.501,
2004-02,1.556,
2004-03,1.614,
2004-04,1.615,
2004-05,1.646,
2004-06,1.690,
2004-07,1.661,
2004-08,1.509,
2004-09,1.495,
2004-10,1.493,
2004-11,1.505,
2004-12,1.359,
2005-01,1.391,
2005-02,1.501,
2005-03,1.551,
2005-04,1.576,
2005-05,1.619,
2005-06,1.669,
2005-07,1.637,
2005-08,1.521,
2005-09,1.626,
2005-10,1.581,
2005-11,1.636,
2005-12,1.559,
2006-01,1.470,
2006-02,1.512,
2006-03,1.547,
2006-04,1.587,
2006-05,1.606,
2006-06,1.607,
2006-07,1.619,
2006-08,1.499,
2006-09,1.468,
2006-10,1.554,
2006-11,1.626,
2006-12,1.566,
2007-01,1.633,
2007-02,1.729,
2007-03,1.787,
2007-04,1.841,
2007-05,1.883,
2007-06,1.891,
2007-07,1.871,
2007-08,1.688,
2007-09,1.676,
2007-10,1.720,
2007-11,1.828,
2007-12,1.605,
2008-01,1.652,
2008-02,1.693,
2008-03,1.831,
2008-04,1.906,
2008-05,1.969,
2008-06,1.885,
2008-07,1.860,
2008-08,1.797,
2008-09,1.824,
2008-10,1.601,
2008-11,1.670,
2008-12,1.471,
2009-01,1.563,
2009-02,1.564,
2009-03,1.526,
2009-04,1.516,
2009-05,1.453,
2009-06,1.518,
2009-07,1.612,
2009-08,1.486,
2009-09,1.370,
2009-10,1.429,
2009-11,1.486,
2009-12,1.256,
2010-01,1.258,
2010-02,1.257,
2010-03,1.383,
2010-04,1.263,
2010-05,1.255,
2010-06,1.314,
2010-07,1.242,
2010-08,1.189,
2010-09,1.178,
2010-10,1.217,
2010-11,1.215,
2010-12,1.245,
2011-01,1.246,
2011-02,1.273,
2011-03,1.330,
2011-04,1.360,
2011-05,1.360,
2011-06,1.241,
2011-07,1.197,
2011-08,1.120,
2011-09,1.133,
2011-10,1.063,
2011-11,1.052,
2011-12,1.048,
2012-01,1.036,
2012-02,1.060,
2012-03,1.051,
2012-04,1.066,
2012-05,1.110,
2012-06,1.090,
2012-07,1.072,
2012-08,1.025,
2012-09,1.002,
2012-10,0.986,
2012-11,0.987,
2012-12,0.952,
2013-01,0.931,
2013-02,0.950,
2013-03,0.896,
2013-04,0.937,
2013-05,0.921,
2013-06,0.940,
2013-07,0.919,
2013-08,0.940,
2013-09,0.980,
2013-10,0.973,
2013-11,0.986,
2013-12,0.957,
2014-01,0.892,
2014-02,0.915,
2014-03,0.942,
2014-04,0.971,
2014-05,1.049,
2014-06,1.089,
2014-07,1.063,
2014-08,0.988,
2014-09,1.011,
2014-10,1.056,
2014-11,0.937,
2014-12,0.919,
