"",BBK01.OECB20K,BBK01.OECB20K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:24,
2002-01,1.625,
2002-04,1.622,
2002-07,1.617,
2002-10,1.623,
2003-01,1.595,
2003-04,1.594,
2003-07,1.623,
2003-10,1.625,
2004-01,1.635,
2004-04,1.644,
2004-07,1.638,
2004-10,1.863,
2005-01,2.407,
2005-04,2.447,
2005-07,2.493,
2005-10,2.558,
2006-01,2.558,
2006-04,2.597,
2006-07,2.616,
2006-10,2.636,
2007-01,2.596,
2007-04,2.623,
2007-07,2.620,
2007-10,2.611,
2008-01,2.594,
2008-04,2.594,
2008-07,2.606,
2008-10,2.586,
2009-01,2.564,
2009-04,3.887,
2009-07,3.809,
2009-10,3.779,
2010-01,3.703,
2010-04,3.610,
2010-07,3.487,
2010-10,3.481,
2011-01,3.152,
2011-04,3.117,
2011-07,3.120,
2011-10,3.134,
2012-01,3.155,
2012-04,3.194,
2012-07,3.241,
2012-10,3.301,
2013-01,3.352,
2013-04,3.436,
2013-07,3.470,
2013-10,3.570,
2014-01,3.652,
2014-04,3.742,
2014-07,3.848,
