"",BBFN1.M.DE.N.1.A.PK.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PK.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Pakistan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:19,
1995-01,0.048,
1995-02,0.043,
1995-03,0.043,
1995-04,0.047,
1995-05,0.048,
1995-06,0.046,
1995-07,0.047,
1995-08,0.049,
1995-09,0.048,
1995-10,0.051,
1995-11,0.057,
1995-12,0.061,
1996-01,0.068,
1996-02,0.077,
1996-03,0.084,
1996-04,0.085,
1996-05,0.084,
1996-06,0.082,
1996-07,0.076,
1996-08,0.075,
1996-09,0.078,
1996-10,0.078,
1996-11,0.077,
1996-12,0.081,
1997-01,0.081,
1997-02,0.083,
1997-03,0.084,
1997-04,0.084,
1997-05,0.085,
1997-06,0.086,
1997-07,0.081,
1997-08,0.082,
1997-09,0.081,
1997-10,0.078,
1997-11,0.078,
1997-12,0.077,
1998-01,0.079,
1998-02,0.078,
1998-03,0.074,
1998-04,0.075,
1998-05,0.072,
1998-06,0.070,
1998-07,0.073,
1998-08,0.080,
1998-09,0.083,
1998-10,0.084,
1998-11,0.086,
1998-12,0.086,
1999-01,0.081,
1999-02,0.079,
1999-03,0.079,
1999-04,0.073,
1999-05,0.069,
1999-06,0.070,
1999-07,0.072,
1999-08,0.070,
1999-09,0.072,
1999-10,0.070,
1999-11,0.065,
1999-12,0.067,
2000-01,0.069,
2000-02,0.067,
2000-03,0.066,
2000-04,0.069,
2000-05,0.066,
2000-06,0.068,
2000-07,0.071,
2000-08,0.070,
2000-09,0.072,
2000-10,0.065,
2000-11,0.060,
2000-12,0.071,
2001-01,0.059,
2001-02,0.059,
2001-03,0.061,
2001-04,0.058,
2001-05,0.054,
2001-06,0.054,
2001-07,0.059,
2001-08,0.056,
2001-09,0.060,
2001-10,0.057,
2001-11,0.056,
2001-12,0.059,
2002-01,0.054,
2002-02,0.054,
2002-03,0.055,
2002-04,0.055,
2002-05,0.055,
2002-06,0.046,
2002-07,0.050,
2002-08,0.050,
2002-09,0.054,
2002-10,0.052,
2002-11,0.050,
2002-12,0.045,
2003-01,0.044,
2003-02,0.047,
2003-03,0.045,
2003-04,0.044,
2003-05,0.046,
2003-06,0.044,
2003-07,0.042,
2003-08,0.040,
2003-09,0.037,
2003-10,0.072,
2003-11,0.072,
2003-12,0.069,
2004-01,0.065,
2004-02,0.069,
2004-03,0.070,
2004-04,0.069,
2004-05,0.070,
2004-06,0.068,
2004-07,0.069,
2004-08,0.070,
2004-09,0.066,
2004-10,0.065,
2004-11,0.065,
2004-12,0.066,
2005-01,0.071,
2005-02,0.072,
2005-03,0.075,
2005-04,0.067,
2005-05,0.069,
2005-06,0.069,
2005-07,0.065,
2005-08,0.066,
2005-09,0.047,
2005-10,0.043,
2005-11,0.043,
2005-12,0.043,
2006-01,0.046,
2006-02,0.048,
2006-03,0.049,
2006-04,0.052,
2006-05,0.052,
2006-06,0.057,
2006-07,0.061,
2006-08,0.073,
2006-09,0.074,
2006-10,0.075,
2006-11,0.075,
2006-12,0.083,
2007-01,0.107,
2007-02,0.103,
2007-03,0.102,
2007-04,0.094,
2007-05,0.100,
2007-06,0.099,
2007-07,0.097,
2007-08,0.103,
2007-09,0.113,
2007-10,0.107,
2007-11,0.098,
2007-12,0.102,
2008-01,0.101,
2008-02,0.104,
2008-03,0.110,
2008-04,0.108,
2008-05,0.096,
2008-06,0.081,
2008-07,0.082,
2008-08,0.085,
2008-09,0.081,
2008-10,0.083,
2008-11,0.106,
2008-12,0.118,
2009-01,0.119,
2009-02,0.125,
2009-03,0.138,
2009-04,0.188,
2009-05,0.185,
2009-06,0.189,
2009-07,0.174,
2009-08,0.173,
2009-09,0.184,
2009-10,0.183,
2009-11,0.177,
2009-12,0.197,
2010-01,0.192,
2010-02,0.178,
2010-03,0.199,
2010-04,0.199,
2010-05,0.210,
2010-06,0.224,
2010-07,0.214,
2010-08,0.217,
2010-09,0.198,
2010-10,0.192,
2010-11,.,No value available
2010-12,0.201,
2011-01,0.198,
2011-02,0.191,
2011-03,.,No value available
2011-04,.,No value available
2011-05,.,No value available
2011-06,0.178,
2011-07,0.181,
2011-08,0.181,
2011-09,0.181,
2011-10,0.169,
2011-11,0.174,
2011-12,0.176,
2012-01,0.174,
2012-02,0.173,
2012-03,0.171,
2012-04,0.167,
2012-05,0.172,
2012-06,0.165,
2012-07,0.161,
2012-08,0.157,
2012-09,0.153,
2012-10,0.152,
2012-11,0.152,
2012-12,0.146,
2013-01,0.141,
2013-02,0.140,
2013-03,0.137,
2013-04,0.128,
2013-05,0.127,
2013-06,0.125,
2013-07,0.110,
2013-08,0.117,
2013-09,0.115,
2013-10,0.108,
2013-11,0.107,
2013-12,0.102,
2014-01,0.101,
2014-02,0.099,
2014-03,0.103,
2014-04,0.100,
2014-05,0.100,
2014-06,0.100,
2014-07,0.100,
2014-08,0.102,
2014-09,0.103,
2014-10,0.102,
2014-11,0.102,
2014-12,0.094,
