"",BBFB1.Q.N.DE.IT.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:47,
1991-01,454.120,
1991-04,530.896,
1991-07,610.279,
1991-10,580.339,
1992-01,526.735,
1992-04,653.905,
1992-07,682.811,
1992-10,615.335,
1993-01,514.663,
1993-04,543.740,
1993-07,567.266,
1993-10,502.026,
1994-01,525.916,
1994-04,506.082,
1994-07,571.003,
1994-10,506.197,
1995-01,548.336,
1995-04,546.926,
1995-07,591.128,
1995-10,623.739,
1996-01,578.047,
1996-04,578.730,
1996-07,661.025,
1996-10,645.279,
1997-01,618.828,
1997-04,671.045,
1997-07,767.548,
1997-10,745.120,
1998-01,761.123,
1998-04,776.922,
1998-07,863.575,
1998-10,791.009,
1999-01,792.527,
1999-04,823.346,
1999-07,820.145,
1999-10,972.889,
2000-01,812.855,
2000-04,851.158,
2000-07,935.526,
2000-10,999.914,
2001-01,893.270,
2001-04,884.792,
2001-07,917.814,
2001-10,976.361,
2002-01,963.852,
2002-04,913.978,
2002-07,1036.396,
2002-10,958.890,
2003-01,1030.657,
2003-04,1113.912,
2003-07,1116.385,
2003-10,1269.266,
2004-01,1272.440,
2004-04,1390.373,
2004-07,1309.090,
2004-10,1411.066,
2005-01,1090.513,
2005-04,1158.107,
2005-07,1328.548,
2005-10,1301.797,
2006-01,1218.384,
2006-04,1436.666,
2006-07,1568.540,
2006-10,1575.849,
2007-01,1347.774,
2007-04,1372.603,
2007-07,1523.614,
2007-10,1505.797,
2008-01,1432.551,
2008-04,1497.642,
2008-07,1568.294,
2008-10,1493.608,
2009-01,1274.797,
2009-04,1229.435,
2009-07,1256.165,
2009-10,1356.937,
2010-01,1198.222,
2010-04,1281.928,
2010-07,1412.748,
2010-10,1423.723,
2011-01,1272.161,
2011-04,1317.001,
2011-07,1400.183,
2011-10,1457.131,
2012-01,1303.159,
2012-04,1271.263,
2012-07,1337.133,
2012-10,1399.204,
2013-01,1219.770,
2013-04,1277.922,
2013-07,1387.414,
2013-10,1612.187,
2014-01,1281.717,Provisional value
2014-04,1362.520,Provisional value
2014-07,1494.810,Provisional value
