"",BBK01.OEAC10U,BBK01.OEAC10U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:39,
2002-01,3.123,
2002-04,3.142,
2002-07,3.131,
2002-10,3.105,
2003-01,3.075,
2003-04,3.072,
2003-07,4.261,
2003-10,4.286,
2004-01,4.398,
2004-04,4.110,
2004-07,4.092,
2004-10,4.130,
2005-01,4.114,
2005-04,4.096,
2005-07,4.055,
2005-10,4.024,
2006-01,4.006,
2006-04,4.044,
2006-07,4.077,
2006-10,4.109,
2007-01,4.111,
2007-04,4.126,
2007-07,4.142,
2007-10,4.141,
2008-01,4.172,
2008-04,4.204,
2008-07,4.214,
2008-10,4.169,
2009-01,4.163,
2009-04,4.728,
2009-07,4.732,
2009-10,4.860,
2010-01,4.765,
2010-04,4.733,
2010-07,4.847,
2010-10,4.826,
2011-01,4.924,
2011-04,4.922,
2011-07,4.912,
2011-10,4.909,
2012-01,4.938,
2012-04,5.075,
2012-07,5.088,
2012-10,5.143,
2013-01,5.063,
2013-04,5.071,
2013-07,5.227,
2013-10,5.256,
2014-01,5.234,
2014-04,5.163,
2014-07,5.078,
