"",BBK01.OEAM04T,BBK01.OEAM04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:33,
2002-01,0.586,
2002-04,0.562,
2002-07,0.550,
2002-10,0.400,
2003-01,0.417,
2003-04,0.390,
2003-07,0.368,
2003-10,0.337,
2004-01,0.332,
2004-04,0.274,
2004-07,0.289,
2004-10,0.300,
2005-01,0.199,
2005-04,0.238,
2005-07,0.251,
2005-10,0.275,
2006-01,0.277,
2006-04,0.362,
2006-07,0.423,
2006-10,0.471,
2007-01,0.472,
2007-04,0.529,
2007-07,0.525,
2007-10,0.554,
2008-01,0.559,
2008-04,0.764,
2008-07,0.609,
2008-10,0.423,
2009-01,0.214,
2009-04,0.190,
2009-07,0.145,
2009-10,0.090,
2010-01,0.157,
2010-04,0.067,
2010-07,0.059,
2010-10,0.054,
2011-01,0.057,
2011-04,0.104,
2011-07,0.174,
2011-10,0.231,
2012-01,0.578,
2012-04,0.368,
2012-07,0.627,
2012-10,0.558,
2013-01,0.392,
2013-04,0.433,
2013-07,0.417,
2013-10,0.371,
2014-01,0.534,
2014-04,0.463,
2014-07,0.444,
