"",BBEX3.M.IDR.USD.CA.AA.A01,BBEX3.M.IDR.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Indonesia / USD 1 = IDR ... (buying),
unit,IDR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:56,
1970-04,377.50,
1970-05,377.50,
1970-06,377.50,
1970-07,377.50,
1970-08,377.50,
1970-09,377.50,
1970-10,377.50,
1970-11,377.50,
1970-12,377.50,
1971-01,377.50,
1971-02,377.50,
1971-03,377.50,
1971-04,377.50,
1971-05,377.50,
1971-06,377.50,
1971-07,377.50,
1971-08,414.50,
1971-09,414.50,
1971-10,414.50,
1971-11,414.50,
1971-12,414.50,
1972-01,414.50,
1972-02,414.50,
1972-03,414.50,
1972-04,414.50,
1972-05,414.50,
1972-06,414.50,
1972-07,414.50,
1972-08,414.50,
1972-09,414.50,
1972-10,414.50,
1972-11,414.50,
1972-12,414.50,
1973-01,414.50,
1973-02,414.50,
1973-03,414.50,
1973-04,414.50,
1973-05,414.50,
1973-06,414.50,
1973-07,414.50,
1973-08,414.50,
1973-09,414.50,
1973-10,414.50,
1973-11,414.50,
1973-12,414.50,
1974-01,414.50,
1974-02,414.50,
1974-03,414.50,
1974-04,414.50,
1974-05,414.50,
1974-06,414.50,
1974-07,414.50,
1974-08,414.50,
1974-09,414.50,
1974-10,414.50,
1974-11,414.50,
1974-12,414.50,
1975-01,414.50,
1975-02,414.50,
1975-03,414.50,
1975-04,414.50,
1975-05,414.50,
1975-06,414.50,
1975-07,414.50,
1975-08,414.50,
1975-09,414.50,
1975-10,414.50,
1975-11,414.50,
1975-12,414.50,
1976-01,414.50,
1976-02,414.50,
1976-03,414.50,
1976-04,414.50,
1976-05,414.50,
1976-06,414.50,
1976-07,414.50,
1976-08,414.50,
1976-09,414.50,
1976-10,414.50,
1976-11,414.50,
1976-12,414.50,
1977-01,414.50,
1977-02,414.50,
1977-03,414.50,
1977-04,414.50,
1977-05,414.50,
1977-06,414.50,
1977-07,414.50,
1977-08,414.50,
1977-09,414.50,
1977-10,414.50,
1977-11,414.50,
1977-12,414.50,
1978-01,414.50,
1978-02,414.50,
1978-03,414.50,
1978-04,414.50,
1978-05,414.50,
1978-06,414.50,
1978-07,414.50,
1978-08,414.50,
1978-09,414.50,
1978-10,414.50,
1978-11,623.50,
1978-12,619.50,
1979-01,620.50,
1979-02,620.75,
1979-03,622.00,
1979-04,623.75,
1979-05,624.75,
1979-06,624.25,
1979-07,624.00,
1979-08,624.25,
1979-09,624.00,
1979-10,625.75,
1979-11,625.75,
1979-12,625.50,
1980-01,625.75,
1980-02,627.00,
1980-03,627.50,
1980-04,627.00,
1980-05,625.00,
1980-06,623.75,
1980-07,625.00,
1980-08,624.25,
1980-09,624.25,
1980-10,624.75,
1980-11,626.00,
1980-12,625.25,
1981-01,626.75,
1981-02,627.00,
1981-03,626.50,
1981-04,627.50,
1981-05,628.50,
1981-06,629.75,
1981-07,632.00,
1981-08,631.50,
1981-09,632.25,
1981-10,633.25,
1981-11,633.00,
1981-12,642.50,
1982-01,645.25,
1982-02,648.25,
1982-03,650.25,
1982-04,650.25,
1982-05,652.50,
1982-06,655.75,
1982-07,658.25,
1982-08,663.50,
1982-09,669.75,
1982-10,679.50,
1982-11,682.50,
1982-12,691.00,
1983-01,694.75,
1983-02,699.00,
1983-03,968.50,
1983-04,966.50,
1983-05,967.50,
1983-06,972.50,
1983-07,979.50,
1983-08,982.50,
1983-09,980.50,
1983-10,982.50,
1983-11,989.50,
1983-12,992.50,
1984-01,993.50,
1984-02,991.50,
1984-03,998.50,
1984-04,1003.50,
1984-05,1007.50,
1984-06,1013.50,
1984-07,1025.50,
1984-08,1046.50,
1984-09,1057.50,
1984-10,1059.50,
1984-11,1065.50,
1984-12,1072.50,
1985-01,1080.50,
1985-02,1090.50,
1985-03,1099.50,
1985-04,1107.50,
1985-05,1115.50,
1985-06,1116.50,
1985-07,1114.50,
1985-08,1117.50,
1985-09,1119.50,
1985-10,1121.50,
1985-11,1120.50,
1985-12,1123.50,
1986-01,1125.50,
1986-02,1126.50,
1986-03,1123.50,
1986-04,1122.50,
1986-05,1128.50,
1986-06,1129.50,
1986-07,1129.50,
1986-08,1130.50,
1986-09,1630.00,
1986-10,1637.00,
1986-11,1647.00,
1986-12,1638.00,
1987-01,1630.00,
1987-02,1641.00,
1987-03,1641.00,
1987-04,1637.00,
1987-05,1646.00,
1987-06,1645.00,
1987-07,1637.00,
1987-08,1637.00,
1987-09,1647.00,
1987-10,1645.00,
1987-11,1647.00,
1987-12,1647.00,
1988-01,1659.00,
1988-02,1657.00,
1988-03,1657.00,
1988-04,1666.00,
1988-05,1670.00,
1988-06,1685.00,
1988-07,1690.00,
1988-08,1696.00,
1988-09,1703.00,
1988-10,1712.00,
1988-11,1718.00,
1988-12,1726.00,
1989-01,1737.00,
1989-02,1742.00,
1989-03,1752.00,
1989-04,1756.00,
1989-05,1768.00,
1989-06,1770.00,
1989-07,1771.00,
1989-08,1782.00,
1989-09,1780.00,
1989-10,1788.00,
1989-11,1791.00,
1989-12,1797.00,
1990-01,1805.00,
1990-02,1812.00,
1990-03,1820.00,
1990-04,1826.00,
1990-05,1833.00,
1990-06,1841.00,
1990-07,1846.00,
1990-08,1855.00,
1990-09,1861.00,
1990-10,1869.00,
1990-11,1881.00,
1990-12,1898.00,
1991-01,1909.00,
1991-02,1917.00,
1991-03,1929.00,
1991-04,1936.00,
1991-05,1944.00,
1991-06,1951.00,
1991-07,1956.00,
1991-08,1962.00,
1991-09,1965.00,
1991-10,1974.00,
1991-11,1982.00,
1991-12,1989.00,
1992-01,2001.00,
1992-02,2007.00,
1992-03,2014.00,
1992-04,2019.00,
1992-05,2024.00,
1992-06,2030.00,
1992-07,2032.00,
1992-08,2031.00,
1992-09,2033.00,
1992-10,2045.00,
1992-11,2054.00,
1992-12,2057.00,
1993-01,2060.00,
1993-02,2062.00,
1993-03,2066.00,
1993-04,2069.00,
1993-05,2074.00,
1993-06,2083.00,
1993-07,2091.00,
1993-08,2097.00,
1993-09,2103.00,
1993-10,2100.00,
1993-11,2101.00,
1993-12,2100.00,
1994-01,2112.00,
1994-02,2126.00,
1994-03,2134.00,
1994-04,2139.00,
1994-05,2145.00,
1994-06,2150.00,
1994-07,2159.00,
1994-08,2165.00,
1994-09,2166.00,
1994-10,2171.00,
1994-11,2178.00,
1994-12,2185.00,
1995-01,2192.00,
1995-02,2197.00,
1995-03,2204.00,
1995-04,2212.00,
1995-05,2221.00,
1995-06,2224.00,
1995-07,2234.00,
1995-08,2244.00,
1995-09,2254.00,
1995-10,2263.00,
1995-11,2274.00,
1995-12,2286.00,
1996-01,2289.00,
1996-02,2300.00,
1996-03,2316.00,
1996-04,2320.00,
1996-05,2332.00,
1996-06,2319.00,
1996-07,2330.00,
1996-08,2340.00,
1996-09,2316.00,
1996-10,2328.00,
1996-11,2344.00,
1996-12,2359.00,
1997-01,2372.00,
1997-02,2382.00,
1997-03,2395.00,
1997-04,2409.00,
1997-05,2416.00,
1997-06,2426.00,
1997-07,2575.00,
1997-08,3005.00,
1997-09,3242.00,
1997-10,3633.00,
1997-11,3630.00,
1997-12,5274.00,
1998-01,10323.00,
1998-02,8706.00,
1998-03,8283.00,
