"",BBDA1.M.DE.N.IM.S.A.F1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.F1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Africa / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:41,
1993-01,628440,
1993-02,594536,
1993-03,623281,
1993-04,636910,
1993-05,559456,
1993-06,653992,
1993-07,669224,
1993-08,596741,
1993-09,534680,
1993-10,612606,
1993-11,581951,
1993-12,636728,
1994-01,593975,
1994-02,524519,
1994-03,686925,
1994-04,587896,
1994-05,558316,
1994-06,673733,
1994-07,614833,
1994-08,608045,
1994-09,561427,
1994-10,534716,
1994-11,629879,
1994-12,725072,
1995-01,581376,
1995-02,592121,
1995-03,651395,
1995-04,542230,
1995-05,601021,
1995-06,590033,
1995-07,586142,
1995-08,592274,
1995-09,546614,
1995-10,594531,
1995-11,530438,
1995-12,607611,
1996-01,690524,
1996-02,598495,
1996-03,628105,
1996-04,619222,
1996-05,668276,
1996-06,556936,
1996-07,657863,
1996-08,537916,
1996-09,597998,
1996-10,619452,
1996-11,658609,
1996-12,690961,
1997-01,778627,
1997-02,652976,
1997-03,701395,
1997-04,702045,
1997-05,688362,
1997-06,609380,
1997-07,713607,
1997-08,610006,
1997-09,684437,
1997-10,714214,
1997-11,714575,
1997-12,715459,
1998-01,675641,
1998-02,601338,
1998-03,768535,
1998-04,692213,
1998-05,689857,
1998-06,607452,
1998-07,624439,
1998-08,638376,
1998-09,614528,
1998-10,610397,
1998-11,572899,
1998-12,655118,
1999-01,550754,
1999-02,569531,
1999-03,765143,
1999-04,690965,
1999-05,626135,
1999-06,673677,
1999-07,774599,
1999-08,695832,
1999-09,729641,
1999-10,764035,
1999-11,907288,
1999-12,912193,
2000-01,872524,
2000-02,876599,
2000-03,872298,
2000-04,905563,
2000-05,957619,
2000-06,920980,
2000-07,1026405,
2000-08,1163717,
2000-09,1158171,
2000-10,1124112,
2000-11,1128338,
2000-12,1119917,
2001-01,1013170,
2001-02,957260,
2001-03,897212,
2001-04,1043335,
2001-05,838759,
2001-06,975943,
2001-07,1151447,
2001-08,898850,
2001-09,956212,
2001-10,957321,
2001-11,879566,
2001-12,786822,
2002-01,749115,
2002-02,891902,
2002-03,894698,
2002-04,937803,
2002-05,798988,
2002-06,861170,
2002-07,794602,
2002-08,750233,
2002-09,859113,
2002-10,1121211,
2002-11,861705,
2002-12,727031,
2003-01,1014570,
2003-02,748737,
2003-03,809423,
2003-04,986931,
2003-05,695355,
2003-06,788034,
2003-07,1155012,
2003-08,771634,
2003-09,751692,
2003-10,771579,
2003-11,892115,
2003-12,854414,
2004-01,727461,
2004-02,743336,
2004-03,937014,
2004-04,758495,
2004-05,804403,
2004-06,920291,
2004-07,949112,
2004-08,991332,
2004-09,981280,
2004-10,1411472,
2004-11,975501,
2004-12,892090,
2005-01,935904,
2005-02,802320,
2005-03,1154783,
2005-04,1168408,
2005-05,1075828,
2005-06,967495,
2005-07,1187889,
2005-08,1122308,
2005-09,1539012,
2005-10,1285076,
2005-11,1492774,
2005-12,1030050,
2006-01,1107729,
2006-02,1510628,
2006-03,1378202,
2006-04,1189132,
2006-05,1429781,
2006-06,1281003,
2006-07,1550434,
2006-08,1472832,
2006-09,1772139,
2006-10,1398507,
2006-11,1474424,
2006-12,1169454,
2007-01,1169204,
2007-02,1404140,
2007-03,1292253,
2007-04,1151554,
2007-05,1554630,
2007-06,1394381,
2007-07,1489621,
2007-08,1269705,
2007-09,1398021,
2007-10,1475135,
2007-11,1369249,
2007-12,1489379,
2008-01,1658585,
2008-02,1722934,
2008-03,1580693,
2008-04,1965500,
2008-05,1842123,
2008-06,1793998,
2008-07,1894530,
2008-08,2168370,
2008-09,1686300,
2008-10,1680642,
2008-11,1413767,
2008-12,1253260,
2009-01,1379862,
2009-02,1284783,
2009-03,985336,
2009-04,1047592,
2009-05,1024025,
2009-06,1097359,
2009-07,1221615,
2009-08,1198890,
2009-09,1291147,
2009-10,1044277,
2009-11,1398090,
2009-12,1262193,
2010-01,1254312,
2010-02,1085614,
2010-03,1282874,
2010-04,1781001,
2010-05,1421245,
2010-06,1574956,
2010-07,1353962,
2010-08,1427107,
2010-09,1429343,
2010-10,1252395,
2010-11,1864985,
2010-12,1311739,
2011-01,1826696,
2011-02,2290350,
2011-03,1843349,
2011-04,2028706,
2011-05,1452799,
2011-06,2022794,
2011-07,1904320,
2011-08,2047653,
2011-09,1728293,
2011-10,1650545,
2011-11,1627510,
2011-12,1520730,
2012-01,1829687,
2012-02,1943743,
2012-03,2274884,
2012-04,1776756,
2012-05,1936187,
2012-06,1895978,
2012-07,1677781,
2012-08,1955320,
2012-09,2013545,
2012-10,2192361,
2012-11,2173403,
2012-12,2475149,
2013-01,2074479,
2013-02,2237118,
2013-03,1996535,
2013-04,2162621,
2013-05,1669814,
2013-06,2267068,
2013-07,1873460,
2013-08,2113113,
2013-09,1536022,
2013-10,1912572,
2013-11,1722241,
2013-12,1542772,
2014-01,1793297,
2014-02,1651154,
2014-03,1804035,
2014-04,1452542,
2014-05,1574615,
2014-06,1614495,
2014-07,1765630,
2014-08,1571562,
2014-09,2009936,
2014-10,1756874,
2014-11,1592602,
2014-12,1584993,
