"",BBSF2.M.1.S.A0000.TOT01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.A0000.TOT01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net asset value / Non-residents / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:30,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,1113,
1993-05,1203,
1993-06,1120,
1993-07,1163,
1993-08,1312,
1993-09,1334,
1993-10,1423,
1993-11,1449,
1993-12,1945,
1994-01,1932,
1994-02,1886,
1994-03,1834,
1994-04,1932,
1994-05,1887,
1994-06,1868,
1994-07,1910,
1994-08,1930,
1994-09,1835,
1994-10,1857,
1994-11,1854,
1994-12,1857,
1995-01,1835,
1995-02,1861,
1995-03,1798,
1995-04,1855,
1995-05,1897,
1995-06,1899,
1995-07,1867,
1995-08,1882,
1995-09,1847,
1995-10,1825,
1995-11,1852,
1995-12,1859,
1996-01,1930,
1996-02,1942,
1996-03,1916,
1996-04,1997,
1996-05,2026,
1996-06,2044,
1996-07,2012,
1996-08,2047,
1996-09,2089,
1996-10,2100,
1996-11,2055,
1996-12,2122,
1997-01,2217,
1997-02,2485,
1997-03,2518,
1997-04,2538,
1997-05,2641,
1997-06,2695,
1997-07,2934,
1997-08,2799,
1997-09,2870,
1997-10,2733,
1997-11,2932,
1997-12,3048,
1998-01,3218,
1998-02,3368,
1998-03,3481,
1998-04,3512,
1998-05,3667,
1998-06,3756,
1998-07,3815,
1998-08,3513,
1998-09,3466,
1998-10,3388,
1998-11,3484,
1998-12,3834,
1999-01,3996,
1999-02,3998,
1999-03,3720,
1999-04,3884,
1999-05,3834,
1999-06,3438,
1999-07,3536,
1999-08,3402,
1999-09,3532,
1999-10,3558,
1999-11,3691,
1999-12,4178,
2000-01,4139,
2000-02,3459,
2000-03,3489,
2000-04,3547,
2000-05,3548,
2000-06,3533,
2000-07,3560,
2000-08,3582,
2000-09,3556,
2000-10,3673,
2000-11,3589,
2000-12,3678,
2001-01,3647,
2001-02,3765,
2001-03,3601,
2001-04,3611,
2001-05,3614,
2001-06,3630,
2001-07,3500,
2001-08,3418,
2001-09,3420,
2001-10,3541,
2001-11,3616,
2001-12,3640,
2002-01,3630,
2002-02,3708,
2002-03,3662,
2002-04,3653,
2002-05,3655,
2002-06,3654,
2002-07,3600,
2002-08,3631,
2002-09,3576,
2002-10,3620,
2002-11,3646,
2002-12,3578,
2003-01,3772,
2003-02,3785,
2003-03,3773,
2003-04,3745,
2003-05,3772,
2003-06,3774,
2003-07,3785,
2003-08,3804,
2003-09,3682,
2003-10,3736,
2003-11,3753,
2003-12,3684,
2004-01,3710,
2004-02,3783,
2004-03,3823,
2004-04,3851,
2004-05,3873,
2004-06,3993,
2004-07,4002,
2004-08,3969,
2004-09,4003,
2004-10,4029,
2004-11,4136,
2004-12,3567,
2005-01,3285,
2005-02,3361,
2005-03,3401,
2005-04,3438,
2005-05,3441,
2005-06,3483,
2005-07,3514,
2005-08,3628,
2005-09,3576,
2005-10,3435,
2005-11,3536,
2005-12,3496,
2006-01,3586,
2006-02,3612,
2006-03,3719,
2006-04,3649,
2006-05,3620,
2006-06,3694,
2006-07,3743,
2006-08,3769,
2006-09,3829,
2006-10,3897,
2006-11,3910,
2006-12,4002,
2007-01,4057,
2007-02,4094,
2007-03,4343,
2007-04,4409,
2007-05,4437,
2007-06,3855,
2007-07,3869,
2007-08,3856,
2007-09,3784,
2007-10,3809,
2007-11,3786,
2007-12,3672,
2008-01,3368,
2008-02,3379,
2008-03,3356,
2008-04,3482,
2008-05,3581,
2008-06,3527,
2008-07,3531,
2008-08,3553,
2008-09,3508,
2008-10,3464,
2008-11,3651,
2008-12,4887,
2009-01,4873,
2009-02,4889,
2009-03,4907,
2009-04,5746,
2009-05,5826,
2009-06,5110,
2009-07,5457,
2009-08,5426,
2009-09,2429,
2009-10,2282,
2009-11,1827,
2009-12,3399,
2010-01,1806,
2010-02,1789,
2010-03,1796,
2010-04,1775,
2010-05,1796,
2010-06,1757,
2010-07,1843,
2010-08,1851,
2010-09,1811,
2010-10,1988,
2010-11,1952,
2010-12,1833,
2011-01,1837,
2011-02,1835,
2011-03,1862,
2011-04,1906,
2011-05,2039,
2011-06,2113,
2011-07,2117,
2011-08,2059,
2011-09,3739,
2011-10,3773,
2011-11,3823,
2011-12,3819,
2012-01,3858,
2012-02,3923,
2012-03,3833,
2012-04,4868,
2012-05,4085,
2012-06,4196,
2012-07,4313,
2012-08,4367,
2012-09,4244,
2012-10,4252,
2012-11,4349,
2012-12,4319,
2013-01,4352,
2013-02,4220,
2013-03,4356,
2013-04,4463,
2013-05,4243,
2013-06,4231,
2013-07,4667,
2013-08,4695,
2013-09,4772,
2013-10,4765,
2013-11,4749,
2013-12,4700,
2014-01,4664,
2014-02,4601,
2014-03,4867,
2014-04,4907,
2014-05,4924,
2014-06,4882,
2014-07,4896,
2014-08,4948,
2014-09,4944,
2014-10,4977,
2014-11,5112,
