"",BBK01.OELO04N,BBK01.OELO04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:25,
2002-01,-0.214,
2002-04,-0.285,
2002-07,-0.154,
2002-10,0.003,
2003-01,0.234,
2003-04,-0.088,
2003-07,-0.315,
2003-10,-0.235,
2004-01,-0.066,
2004-04,-0.078,
2004-07,-0.215,
2004-10,-0.183,
2005-01,-0.254,
2005-04,-0.286,
2005-07,-0.311,
2005-10,-0.321,
2006-01,0.285,
2006-04,0.059,
2006-07,-0.355,
2006-10,-0.924,
2007-01,-1.056,
2007-04,-0.883,
2007-07,-0.780,
2007-10,-0.939,
2008-01,-1.045,
2008-04,-0.965,
2008-07,-1.209,
2008-10,-0.216,
2009-01,1.276,
2009-04,1.438,
2009-07,1.369,
2009-10,1.375,
2010-01,1.420,
2010-04,0.643,
2010-07,0.195,
2010-10,-0.298,
2011-01,0.030,
2011-04,-0.288,
2011-07,-0.456,
2011-10,-0.524,
2012-01,-0.367,
2012-04,-0.274,
2012-07,-0.064,
2012-10,-0.189,
2013-01,-0.011,
2013-04,-0.278,
2013-07,-0.119,
2013-10,-0.123,
2014-01,-0.023,
2014-04,-0.196,
2014-07,-0.140,
