"",BBK01.OEAC56L,BBK01.OEAC56L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:41,
2002-01,39.690,
2002-04,38.885,
2002-07,39.979,
2002-10,37.021,
2003-01,38.178,
2003-04,39.058,
2003-07,39.862,
2003-10,39.607,
2004-01,39.504,
2004-04,39.220,
2004-07,39.416,
2004-10,39.018,
2005-01,38.117,
2005-04,37.832,
2005-07,38.000,
2005-10,37.725,
2006-01,37.271,
2006-04,36.544,
2006-07,36.932,
2006-10,36.473,
2007-01,36.316,
2007-04,36.144,
2007-07,37.462,
2007-10,37.830,
2008-01,36.628,
2008-04,35.126,
2008-07,35.360,
2008-10,35.399,
2009-01,34.603,
2009-04,35.149,
2009-07,33.087,
2009-10,31.768,
2010-01,31.271,
2010-04,31.250,
2010-07,32.055,
2010-10,32.056,
2011-01,31.896,
2011-04,32.078,
2011-07,31.975,
2011-10,30.996,
2012-01,30.876,
2012-04,31.108,
2012-07,30.728,
2012-10,30.854,
2013-01,30.581,
2013-04,30.474,
2013-07,30.652,
2013-10,30.431,
2014-01,30.145,
2014-04,29.897,
2014-07,30.075,
