"",BBK01.CELEN5,BBK01.CELEN5_FLAGS
"",short-term loans debtor: Rest of the world                   creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:19,
1999-01,12.8,
1999-04,14.5,
1999-07,-14.8,
1999-10,2.9,
2000-01,25.3,
2000-04,15.4,
2000-07,-16.8,
2000-10,-5.8,
2001-01,35.8,
2001-04,-2.4,
2001-07,-19.7,
2001-10,-9.4,
2002-01,-6.3,
2002-04,-9.7,
2002-07,0.6,
2002-10,-1.5,
2003-01,7.5,
2003-04,-3.7,
2003-07,-2.9,
2003-10,-0.7,
2004-01,8.7,
2004-04,-1.7,
2004-07,0.9,
2004-10,-9.6,
2005-01,2.1,
2005-04,0.8,
2005-07,5.2,
2005-10,2.4,
2006-01,5.6,
2006-04,-3.5,
2006-07,-3.3,
2006-10,-2.8,
2007-01,-8.3,
2007-04,3.3,
2007-07,-0.3,
2007-10,1.1,
2008-01,-0.7,
2008-04,5.7,
2008-07,6.3,
2008-10,4.7,
2009-01,1.8,
2009-04,3.6,
2009-07,-7.1,
2009-10,4.9,
2010-01,3.5,
2010-04,8.0,
2010-07,-1.2,
2010-10,-0.5,
2011-01,11.2,
2011-04,-3.9,
2011-07,13.5,
2011-10,-14.9,
2012-01,5.3,
2012-04,-8.5,
2012-07,-1.1,
2012-10,8.1,
2013-01,0.9,
2013-04,9.7,
2013-07,-6.1,
2013-10,-3.2,
2014-01,1.0,
2014-04,5.9,
2014-07,-1.6,
