"",BBK01.OEBJ02K,BBK01.OEBJ02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:10,
2002-01,5.642,
2002-04,5.986,
2002-07,7.062,
2002-10,7.721,
2003-01,7.066,
2003-04,6.519,
2003-07,6.570,
2003-10,7.465,
2004-01,7.124,
2004-04,7.561,
2004-07,8.095,
2004-10,7.839,
2005-01,7.891,
2005-04,7.943,
2005-07,8.410,
2005-10,8.220,
2006-01,8.862,
2006-04,8.735,
2006-07,8.263,
2006-10,9.095,
2007-01,9.307,
2007-04,9.389,
2007-07,9.432,
2007-10,9.629,
2008-01,9.668,
2008-04,8.906,
2008-07,9.343,
2008-10,9.686,
2009-01,10.122,
2009-04,9.860,
2009-07,10.193,
2009-10,10.544,
2010-01,10.651,
2010-04,11.169,
2010-07,11.077,
2010-10,11.770,
2011-01,11.370,
2011-04,11.827,
2011-07,11.924,
2011-10,12.352,
2012-01,12.151,
2012-04,12.676,
2012-07,13.164,
2012-10,14.838,
2013-01,14.296,
2013-04,14.165,
2013-07,14.677,
2013-10,15.445,
2014-01,15.558,
2014-04,14.976,
2014-07,16.257,
