"",BBEX3.M.MMK.USD.CA.AC.A01,BBEX3.M.MMK.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Myanmar / USD 1 = MMK ... (middle),
unit,MMK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:13,
1990-01,6.47470,
1990-02,6.52370,
1990-03,6.61865,
1990-04,6.59995,
1990-05,6.50025,
1990-06,6.49885,
1990-07,6.33140,
1990-08,6.21005,
1990-09,6.17545,
1990-10,6.00045,
1990-11,5.96700,
1990-12,6.08040,
1991-01,5.99395,
1991-02,6.05445,
1991-03,6.40895,
1991-04,6.47690,
1991-05,6.38745,
1991-06,6.51615,
1991-07,6.44025,
1991-08,6.42080,
1991-09,6.31725,
1991-10,6.29050,
1991-11,6.19170,
1991-12,6.01370,
1992-01,6.14170,
1992-02,6.21785,
1992-03,6.27180,
1992-04,6.26575,
1992-05,6.19495,
1992-06,5.98285,
1992-07,5.96455,
1992-08,5.81155,
1992-09,5.86665,
1992-10,6.11160,
1992-11,6.19965,
1992-12,6.24155,
1993-01,6.19090,
1993-02,6.22060,
1993-03,6.19435,
1993-04,6.05100,
1993-05,6.01585,
1993-06,6.15960,
1993-07,6.17010,
1993-08,6.10990,
1993-09,6.05425,
1993-10,6.17815,
1993-11,6.21515,
1993-12,6.24555,
1994-01,6.21775,
1994-02,6.15715,
1994-03,6.09585,
1994-04,6.07285,
1994-05,6.07245,
1994-06,5.92405,
1994-07,5.90245,
1994-08,5.92810,
1994-09,5.86090,
1994-10,5.76195,
1994-11,5.88495,
1994-12,5.90295,
1995-01,5.82940,
1995-02,5.74500,
1995-03,5.52045,
1995-04,5.44050,
1995-05,5.45420,
1995-06,5.50460,
1995-07,5.52695,
1995-08,5.79155,
1995-09,5.71780,
1995-10,5.73800,
1995-11,5.77560,
1995-12,5.78105,
1996-01,5.91965,
1996-02,5.83225,
1996-03,5.89415,
1996-04,5.91275,
1996-05,5.94115,
1996-06,5.95635,
1996-07,5.89045,
1996-08,5.88920,
1996-09,5.95780,
1996-10,5.95095,
1996-11,5.93405,
1996-12,5.98770,
1997-01,6.16345,
1997-02,6.18740,
1997-03,6.21585,
1997-04,6.30095,
1997-05,6.17890,
1997-06,6.17385,
1997-07,6.32090,
1997-08,6.32020,
1997-09,6.28945,
1997-10,6.21000,
1997-11,6.30100,
1997-12,6.36270,
1998-01,6.35350,
1998-02,6.38920,
1998-03,6.41290,
1998-04,6.38500,
1998-05,6.43390,
1998-06,6.46655,
1998-07,6.43440,
1998-08,6.46270,
1998-09,6.24575,
1998-10,6.09775,
1998-11,6.21830,
1998-12,6.10865,
1999-01,6.17280,
1999-02,6.29840,
1999-03,6.34145,
1999-04,6.35180,
1999-05,6.39000,
1999-06,6.42570,
1999-07,6.30920,
1999-08,6.31300,
1999-09,6.22735,
1999-10,6.20070,
1999-11,6.25920,
1999-12,6.26825,
2000-01,6.32170,
2000-02,6.41770,
2000-03,6.39270,
2000-04,6.47500,
2000-05,6.54875,
2000-06,6.43005,
2000-07,6.52835,
2000-08,6.57115,
2000-09,6.61275,
2000-10,6.73235,
2000-11,6.70160,
2000-12,6.59850,
2001-01,6.65490,
2001-02,6.67600,
2001-03,6.78335,
2001-04,6.75305,
2001-05,6.84285,
2001-06,6.88880,
2001-07,6.83365,
2001-08,6.70025,
2001-09,6.65955,
2001-10,6.77045,
2001-11,6.80550,
2001-12,6.85030,
2002-01,6.90830,
2002-02,6.92555,
2002-03,6.89235,
2002-04,6.76625,
2002-05,6.66235,
2002-06,6.50745,
2002-07,6.48320,
2002-08,6.47835,
2002-09,6.51925,
2002-10,6.51025,
2002-11,6.48660,
2002-12,6.34400,
2003-01,6.26040,
2003-02,6.25675,
2003-03,6.30505,
2003-04,6.24675,
2003-05,6.07000,
2003-06,6.13030,
2003-07,6.14140,
2003-08,6.26785,
2003-09,6.08040,
2003-10,5.97655,
2003-11,5.96940,
2003-12,5.80525,
2004-01,5.77770,
2004-02,5.80495,
2004-03,5.81660,
2004-04,5.92045,
2004-05,5.85060,
2004-06,5.85560,
2004-07,5.90550,
2004-08,5.89425,
2004-09,5.85190,
2004-10,5.75300,
2004-11,5.61055,
2004-12,5.55195,
2005-01,5.65045,
2005-02,5.63670,
2005-03,5.69590,
2005-04,5.67770,
2005-05,5.78620,
2005-06,5.88940,
2005-07,5.92610,
2005-08,5.88570,
2005-09,5.92415,
2005-10,5.91770,
2005-11,6.02430,
2005-12,5.98970,
2006-01,5.95275,
2006-02,5.99465,
2006-03,5.96515,
2006-04,5.87285,
2006-05,5.75345,
2006-06,5.85690,
2006-07,5.81310,
2006-08,5.78135,
2006-09,5.80770,
2006-10,5.79800,
2006-11,5.70620,
2006-12,5.71700,
2007-01,5.76115,
2007-02,5.70850,
2007-03,5.67890,
2007-04,5.63540,
2007-05,5.68360,
2007-06,5.67480,
2007-07,5.61385,
2007-08,5.61415,
2007-09,5.53630,
2007-10,5.47765,
2007-11,5.40560,
2007-12,5.44420,
2008-01,5.39915,
2008-02,5.36235,
2008-03,5.22090,
2008-04,5.28655,
2008-05,5.29360,
2008-06,5.27230,
2008-07,5.30320,
2008-08,5.46705,
2008-09,5.52170,
2008-10,5.71600,
2008-11,5.75155,
2008-12,5.55205,
2009-01,5.71105,
2009-02,5.83525,
2009-03,5.76720,
2009-04,5.73535,
2009-05,5.59785,
2009-06,5.54310,
2009-07,5.54045,
2009-08,5.49490,
2009-09,5.44735,
2009-10,5.41420,
2009-11,5.33615,
2009-12,5.50170,
2010-01,5.52080,
2010-02,5.61125,
2010-03,5.65540,
2010-04,5.69730,
2010-05,5.82880,
2010-06,5.82560,
2010-07,5.64750,
2010-08,5.69440,
2010-09,5.53610,
2010-10,5.44635,
2010-11,5.57570,
2010-12,5.58015,
2011-01,5.49360,
2011-02,5.47510,
2011-03,5.44000,
2011-04,5.30575,
2011-05,5.39465,
2011-06,5.38005,
2011-07,5.36600,
2011-08,5.34310,
2011-09,5.48320,
2011-10,5.38115,
2011-11,5.52815,
2011-12,5.61520,
2012-01,5.55345,
2012-02,5.52720,
2012-03,5.56190,
2012-04,824.00000,comment
2012-05,841.00000,
2012-06,875.00000,
2012-07,875.00000,
2012-08,872.00000,
2012-09,861.00000,
2012-10,851.00000,
2012-11,852.00000,
2012-12,857.00000,
2013-01,858.00000,
2013-02,862.00000,
2013-03,876.50000,
2013-04,891.50000,
2013-05,942.50000,
2013-06,969.00000,
2013-07,975.00000,
2013-08,972.00000,
2013-09,973.00000,
2013-10,972.00000,
2013-11,983.00000,
2013-12,987.00000,
2014-01,987.00000,
2014-02,984.00000,
2014-03,964.00000,
2014-04,962.00000,
2014-05,966.00000,
2014-06,973.00000,
2014-07,972.00000,
2014-08,970.00000,
2014-09,992.00000,
2014-10,1006.00000,
2014-11,1028.00000,
2014-12,1026.00000,
2015-01,1025.00000,
2015-02,1027.00000,
"","General: * Until March 2012, in addition to the official published rates, there were other rates which deviated substantially from the official rates; however, we do not have any details. At the beginning of April 2012, a managed floating exchange rate regime was introduced; since then, reference rates have been published.",
"","Source: Central Bank of Myanmar, Nay Pyi Taw (until October 2009: Yangon); until March 2012, calculated on the basis of buying and selling rates.",
"","Comment on 2012-04: At the beginning of April 2012, a managed floating exchange rate regime was introduced; a reference rate of USD 1 = MMK 818 was published for 2 April 2012.",
