"",BBK01.CEH7I0,BBK01.CEH7I0_FLAGS
"",Other liabilities debtor:  Households and non-profit institutions serving households                     creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:00,
1991-01,0.3,
1991-04,0.0,
1991-07,0.3,
1991-10,0.9,
1992-01,0.4,
1992-04,0.2,
1992-07,0.1,
1992-10,-0.1,
1993-01,0.4,
1993-04,0.3,
1993-07,0.2,
1993-10,-0.5,
1994-01,0.1,
1994-04,0.3,
1994-07,0.1,
1994-10,-0.1,
1995-01,-0.2,
1995-04,0.7,
1995-07,0.7,
1995-10,0.7,
1996-01,0.5,
1996-04,0.3,
1996-07,0.2,
1996-10,-1.1,
1997-01,0.4,
1997-04,0.3,
1997-07,0.2,
1997-10,-0.9,
1998-01,0.4,
1998-04,0.3,
1998-07,0.3,
1998-10,0.2,
1999-01,0.2,
1999-04,0.1,
1999-07,0.1,
1999-10,1.1,
2000-01,0.3,
2000-04,0.1,
2000-07,0.1,
2000-10,-1.8,
2001-01,0.2,
2001-04,0.1,
2001-07,0.2,
2001-10,-0.1,
2002-01,0.4,
2002-04,0.1,
2002-07,0.1,
2002-10,-0.2,
2003-01,0.1,
2003-04,0.1,
2003-07,0.1,
2003-10,0.8,
2004-01,0.2,
2004-04,0.0,
2004-07,0.1,
2004-10,1.7,
2005-01,0.3,
2005-04,-1.4,
2005-07,0.2,
2005-10,-1.6,
2006-01,0.3,
2006-04,0.3,
2006-07,-0.1,
2006-10,-0.9,
2007-01,0.4,
2007-04,0.2,
2007-07,-0.1,
2007-10,-0.8,
2008-01,0.2,
2008-04,0.2,
2008-07,0.0,
2008-10,0.3,
2009-01,0.4,
2009-04,0.3,
2009-07,-0.1,
2009-10,0.3,
2010-01,0.4,
2010-04,0.0,
2010-07,-0.1,
2010-10,-0.2,
2011-01,0.3,
2011-04,0.1,
2011-07,0.0,
2011-10,1.2,
2012-01,0.4,
2012-04,0.1,
2012-07,0.1,
2012-10,0.8,
2013-01,0.2,
2013-04,0.1,
2013-07,0.0,
2013-10,0.1,
2014-01,0.2,
