"",BBNZ1.Q.DE.S.G.0342.A,BBNZ1.Q.DE.S.G.0342.A_FLAGS
"",Germany / National accounts / Households' income / Mass income / Seasonally adjusted only,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:07,
1991-01,173.891,
1991-04,177.571,
1991-07,176.845,
1991-10,181.170,
1992-01,186.327,
1992-04,189.790,
1992-07,194.028,
1992-10,197.707,
1993-01,196.592,
1993-04,199.606,
1993-07,201.136,
1993-10,204.180,
1994-01,201.700,
1994-04,201.969,
1994-07,202.929,
1994-10,203.878,
1995-01,203.920,
1995-04,205.022,
1995-07,205.803,
1995-10,208.170,
1996-01,211.209,
1996-04,211.413,
1996-07,210.936,
1996-10,209.935,
1997-01,210.432,
1997-04,210.137,
1997-07,210.067,
1997-10,211.175,
1998-01,211.871,
1998-04,215.140,
1998-07,215.977,
1998-10,216.086,
1999-01,219.540,
1999-04,222.470,
1999-07,224.842,
1999-10,225.832,
2000-01,228.572,
2000-04,229.854,
2000-07,231.503,
2000-10,233.306,
2001-01,237.212,
2001-04,238.216,
2001-07,239.191,
2001-10,241.050,
2002-01,240.897,
2002-04,241.024,
2002-07,243.915,
2002-10,243.623,
2003-01,242.141,
2003-04,241.778,
2003-07,244.386,
2003-10,245.294,
2004-01,246.710,
2004-04,246.821,
2004-07,246.520,
2004-10,246.962,
2005-01,246.696,
2005-04,247.539,
2005-07,246.898,
2005-10,246.820,
2006-01,245.618,
2006-04,247.607,
2006-07,248.480,
2006-10,247.895,
2007-01,249.627,
2007-04,250.740,
2007-07,251.564,
2007-10,253.391,
2008-01,255.960,
2008-04,256.646,
2008-07,257.689,
2008-10,258.899,
2009-01,259.470,
2009-04,262.992,
2009-07,266.394,
2009-10,267.226,
2010-01,270.597,
2010-04,272.459,
2010-07,272.498,
2010-10,274.572,
2011-01,275.970,
2011-04,277.211,
2011-07,278.214,
2011-10,280.216,
2012-01,283.207,
2012-04,286.130,
2012-07,286.872,
2012-10,289.515,
2013-01,290.967,
2013-04,293.129,
2013-07,295.102,
2013-10,296.374,
2014-01,299.885,
2014-04,301.549,
2014-07,304.470,
2014-10,308.243,
