"",BBK01.OEAH88G,BBK01.OEAH88G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:38,
2002-01,6.527,
2002-04,6.517,
2002-07,8.378,
2002-10,7.067,
2003-01,6.702,
2003-04,7.020,
2003-07,9.407,
2003-10,8.934,
2004-01,8.469,
2004-04,6.735,
2004-07,5.477,
2004-10,5.671,
2005-01,5.923,
2005-04,6.720,
2005-07,5.871,
2005-10,8.839,
2006-01,8.318,
2006-04,6.856,
2006-07,7.200,
2006-10,6.482,
2007-01,7.499,
2007-04,7.492,
2007-07,8.012,
2007-10,7.741,
2008-01,7.698,
2008-04,8.212,
2008-07,11.273,
2008-10,7.091,
2009-01,6.310,
2009-04,9.394,
2009-07,9.668,
2009-10,9.112,
2010-01,8.804,
2010-04,8.878,
2010-07,11.144,
2010-10,10.021,
2011-01,9.465,
2011-04,8.524,
2011-07,6.951,
2011-10,9.125,
2012-01,7.169,
2012-04,6.632,
2012-07,7.016,
2012-10,7.044,
2013-01,5.411,
2013-04,4.231,
2013-07,5.137,
2013-10,4.926,
2014-01,4.743,
2014-04,3.622,
2014-07,5.112,
