"",BBK01.XU8882,BBK01.XU8882_FLAGS
"","Germany / Exports / Product Classification for Production Statistics from 2002 30-33 combined (office machinery, computers etc) / 1 /",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:42,
1995-01,4371428,
1995-02,4551165,
1995-03,5107847,
1995-04,4225132,
1995-05,4932965,
1995-06,5021524,
1995-07,4685704,
1995-08,4572250,
1995-09,5012375,
1995-10,5365252,
1995-11,5460253,
1995-12,5683191,
1996-01,4934591,
1996-02,5111193,
1996-03,5285393,
1996-04,4887661,
1996-05,4879952,
1996-06,4793565,
1996-07,5269198,
1996-08,4596418,
1996-09,4951100,
1996-10,5941600,
1996-11,5709455,
1996-12,5402187,
1997-01,5270178,
1997-02,5295077,
1997-03,5639219,
1997-04,5756746,
1997-05,5540319,
1997-06,6128758,
1997-07,6098625,
1997-08,5381534,
1997-09,6517536,
1997-10,6692673,
1997-11,6279748,
1997-12,6505507,
1998-01,5813897,
1998-02,6131615,
1998-03,6565998,
1998-04,6589931,
1998-05,6154470,
1998-06,6536323,
1998-07,6787054,
1998-08,5876381,
1998-09,6365866,
1998-10,6808208,
1998-11,6779989,
1998-12,6649839,
1999-01,5516625,
1999-02,6377846,
1999-03,6827986,
1999-04,6649163,
1999-05,6210037,
1999-06,7075248,
1999-07,7086260,
1999-08,6385744,
1999-09,7347480,
1999-10,7503233,
1999-11,8410660,
1999-12,7875485,
2000-01,7438857,
2000-02,7954164,
2000-03,9113047,
2000-04,7747866,
2000-05,9000467,
2000-06,8853548,
2000-07,8678793,
2000-08,8552952,
2000-09,9614153,
2000-10,10442100,
2000-11,10761979,
2000-12,9610640,
2001-01,9343939,
2001-02,9047119,
2001-03,9888383,
2001-04,9014822,
2001-05,9698303,
2001-06,8969271,
2001-07,9145438,
2001-08,8689165,
2001-09,8345811,
2001-10,9733898,
2001-11,9404453,
2001-12,8861264,
2002-01,8449466,
2002-02,8636708,
2002-03,9216009,
2002-04,9131587,
2002-05,8692549,
2002-06,9364002,
2002-07,9022919,
2002-08,8596677,
2002-09,9541055,
2002-10,9754950,
2002-11,10388337,
2002-12,8961775,
2003-01,9193278,
2003-02,9034254,
2003-03,9482234,
2003-04,8714586,
2003-05,8831455,
2003-06,8827909,
2003-07,9177815,
2003-08,8816690,
2003-09,10065962,
2003-10,10063423,
2003-11,10304519,
2003-12,9737181,
2004-01,9893862,
2004-02,9913801,
2004-03,11235012,
2004-04,10071479,
2004-05,10092211,
2004-06,10797171,
2004-07,10833724,
2004-08,9638699,
2004-09,11171514,
2004-10,11076904,
2004-11,12324958,
2004-12,11035305,
2005-01,10601790,
2005-02,10227699,
2005-03,11152270,
2005-04,10555326,
2005-05,10399072,
2005-06,11760979,
2005-07,10903469,
2005-08,11289162,
2005-09,12000875,
2005-10,12092263,
2005-11,12596887,
2005-12,12275452,
2006-01,11935972,
2006-02,11543556,
2006-03,12786041,
2006-04,11622772,
2006-05,11631731,
2006-06,11903002,
2006-07,11327307,
2006-08,11596572,
2006-09,13395974,
2006-10,14012946,
2006-11,14639468,
2006-12,12454355,
2007-01,12312625,
2007-02,12309784,
2007-03,13293116,
2007-04,12189568,
2007-05,12140686,
2007-06,12661570,
2007-07,12454550,
2007-08,12604233,
2007-09,13095966,
2007-10,13999659,
2007-11,14235669,
2007-12,12220988,
"","General: 1 Series consits of items 30-33 of the Product Classification for Production Statistics from 2002 (xu8848, xu8850, xu8852 and xu8854)",
