"",BBK01.OEAC50T,BBK01.OEAC50T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:01,
2002-01,0.871,
2002-04,0.863,
2002-07,0.852,
2002-10,0.853,
2003-01,0.824,
2003-04,0.818,
2003-07,0.800,
2003-10,0.795,
2004-01,0.776,
2004-04,0.770,
2004-07,0.756,
2004-10,0.750,
2005-01,0.719,
2005-04,0.724,
2005-07,0.697,
2005-10,0.678,
2006-01,0.662,
2006-04,0.655,
2006-07,0.648,
2006-10,0.643,
2007-01,0.641,
2007-04,0.637,
2007-07,0.626,
2007-10,0.622,
2008-01,0.606,
2008-04,0.599,
2008-07,0.593,
2008-10,0.589,
2009-01,0.567,
2009-04,0.576,
2009-07,0.561,
2009-10,0.528,
2010-01,0.551,
2010-04,0.543,
2010-07,0.555,
2010-10,0.546,
2011-01,0.544,
2011-04,0.540,
2011-07,0.528,
2011-10,0.533,
2012-01,0.523,
2012-04,0.552,
2012-07,0.548,
2012-10,0.545,
2013-01,0.539,
2013-04,0.535,
2013-07,0.542,
2013-10,0.537,
2014-01,0.536,
2014-04,0.533,
2014-07,0.540,
