"",BBK01.OELI03L,BBK01.OELI03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:39,
2002-01,7.119,
2002-04,6.987,
2002-07,6.930,
2002-10,7.016,
2003-01,6.707,
2003-04,6.420,
2003-07,6.400,
2003-10,6.325,
2004-01,6.056,
2004-04,5.862,
2004-07,5.841,
2004-10,5.886,
2005-01,5.700,
2005-04,5.823,
2005-07,5.876,
2005-10,6.117,
2006-01,6.016,
2006-04,6.045,
2006-07,6.290,
2006-10,6.659,
2007-01,6.759,
2007-04,7.010,
2007-07,7.623,
2007-10,8.811,
2008-01,8.940,
2008-04,9.605,
2008-07,10.239,
2008-10,11.155,
2009-01,10.162,
2009-04,8.723,
2009-07,7.804,
2009-10,6.966,
2010-01,6.625,
2010-04,6.464,
2010-07,6.507,
2010-10,6.761,
2011-01,6.758,
2011-04,6.820,
2011-07,7.119,
2011-10,7.369,
2012-01,6.527,
2012-04,6.118,
2012-07,5.579,
2012-10,5.660,
2013-01,5.235,
2013-04,5.032,
2013-07,5.018,
2013-10,5.139,
2014-01,5.052,
2014-04,5.011,
2014-07,4.768,
