"",BBK01.CEFF11,BBK01.CEFF11_FLAGS
"",long-term loans  debtor: Non-financial corporations                        creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:52,
1999-01,11.2,
1999-04,8.4,
1999-07,2.3,
1999-10,0.0,
2000-01,6.6,
2000-04,9.7,
2000-07,0.0,
2000-10,13.1,
2001-01,16.4,
2001-04,19.8,
2001-07,17.9,
2001-10,21.8,
2002-01,37.1,
2002-04,46.5,
2002-07,53.6,
2002-10,49.4,
2003-01,57.0,
2003-04,59.7,
2003-07,61.1,
2003-10,58.3,
2004-01,55.3,
2004-04,51.5,
2004-07,52.4,
2004-10,52.1,
2005-01,27.2,
2005-04,29.2,
2005-07,32.8,
2005-10,25.1,
2006-01,38.2,
2006-04,39.4,
2006-07,48.7,
2006-10,49.9,
2007-01,44.7,
2007-04,40.8,
2007-07,37.7,
2007-10,46.6,
2008-01,46.9,
2008-04,45.9,
2008-07,42.6,
2008-10,47.8,
2009-01,47.5,
2009-04,45.9,
2009-07,45.6,
2009-10,45.3,
2010-01,50.5,
2010-04,54.1,
2010-07,57.7,
2010-10,63.0,
2011-01,58.0,
2011-04,53.9,
2011-07,53.8,
2011-10,57.6,
2012-01,59.6,
2012-04,58.9,
2012-07,59.6,
2012-10,60.4,
2013-01,55.8,
2013-04,48.8,
2013-07,48.4,
2013-10,36.4,
2014-01,36.3,
2014-04,36.0,
2014-07,35.5,
