"",BBK01.TVE300,BBK01.TVE300_FLAGS
"",Money stock M3 / Money stock M2 / Money stock M1 / Currency in circulation / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:34,
1997-10,613,
1997-11,2968,
1997-12,5770,
1998-01,-9165,
1998-02,368,
1998-03,33,
1998-04,3026,
1998-05,2368,
1998-06,-1764,
1998-07,5200,
1998-08,-5621,
1998-09,-3269,
1998-10,1550,
1998-11,912,
1998-12,9156,
1999-01,-9403,
1999-02,-423,
1999-03,4643,
1999-04,2159,
1999-05,1670,
1999-06,2388,
1999-07,8072,
1999-08,-5489,
1999-09,909,
1999-10,2272,
1999-11,518,
1999-12,19473,
2000-01,-16948,
2000-02,-1851,
2000-03,3467,
2000-04,3255,
2000-05,-200,
2000-06,3630,
2000-07,1885,
2000-08,-5128,
2000-09,1036,
2000-10,-2215,
2000-11,96,
2000-12,10671,
2001-01,-20035,
2001-02,-1039,
2001-03,1250,
2001-04,-110,
2001-05,-3269,
2001-06,120,
2001-07,-4990,
2001-08,-8799,
2001-09,-9628,
2001-10,-14154,
2001-11,-15746,
2001-12,-39987,
2002-01,6960,
2002-02,-6204,
2002-03,13822,
2002-04,7357,
2002-05,12192,
2002-06,11849,
2002-07,10878,
2002-08,4540,
2002-09,5562,
2002-10,7196,
2002-11,7481,
2002-12,19805,
2003-01,-7408,
2003-02,7197,
2003-03,7900,
2003-04,9102,
2003-05,7436,
2003-06,7286,
2003-07,11039,
2003-08,1193,
2003-09,2166,
2003-10,6409,
2003-11,7909,
2003-12,18754,
2004-01,-8785,
2004-02,4352,
2004-03,6122,
2004-04,9782,
2004-05,7250,
2004-06,6391,
2004-07,13232,
2004-08,-2846,
2004-09,4641,
2004-10,6353,
2004-11,4359,
2004-12,19673,
2005-01,-8533,
2005-02,3673,
2005-03,8185,
2005-04,9323,
2005-05,4755,
2005-06,10723,
2005-07,9877,
2005-08,-5509,
2005-09,6244,
2005-10,3349,
2005-11,3975,
2005-12,18302,
2006-01,-11961,
2006-02,3988,
2006-03,7422,
2006-04,8070,
2006-05,3266,
2006-06,10135,
2006-07,8963,
2006-08,-3712,
2006-09,4202,
2006-10,3888,
2006-11,4421,
2006-12,20703,
2007-01,-16981,
2007-02,3080,
2007-03,9802,
2007-04,6274,
2007-05,2814,
2007-06,7368,
2007-07,7949,
2007-08,-2282,
2007-09,-166,
2007-10,3023,
2007-11,5154,
2007-12,19895,
2008-01,-16481,
2008-02,5860,
2008-03,3879,
2008-04,8524,
2008-05,4354,
2008-06,6342,
2008-07,6730,
2008-08,-2824,
2008-09,1087,
2008-10,41703,
2008-11,4840,
2008-12,19132,
2009-01,-11894,
2009-02,3630,
2009-03,4012,
2009-04,9295,
2009-05,2775,
2009-06,2986,
2009-07,10445,
2009-08,-4297,
2009-09,-529,
2009-10,4775,
2009-11,4675,
2009-12,19906,
2010-01,-12787,
2010-02,2433,
2010-03,9068,
2010-04,4030,
2010-05,6355,
2010-06,6534,
2010-07,8437,
2010-08,-5961,
2010-09,-1230,
2010-10,2218,
2010-11,1165,
2010-12,18357,
2011-01,-12559,
2011-02,-5,
2011-03,2499,
2011-04,7106,
2011-05,4984,
2011-06,9229,
2011-07,8530,
2011-08,-4749,
2011-09,7725,
2011-10,6328,
2011-11,3870,
2011-12,16114,
2012-01,-14334,
2012-02,-417,
2012-03,2366,
2012-04,2692,
2012-05,8704,
2012-06,11412,
2012-07,3764,
2012-08,-1343,
2012-09,-3514,
2012-10,-2386,
2012-11,-192,
2012-12,12713,
2013-01,-19812,
2013-02,-1189,
2013-03,11749,
2013-04,7172,
2013-05,4990,
2013-06,6210,
2013-07,6896,
2013-08,1392,
2013-09,-170,
2013-10,3925,
2013-11,5413,
2013-12,17860,
2014-01,-13561,
2014-02,1922,
2014-03,6328,
2014-04,5292,
2014-05,7083,
2014-06,6396,
2014-07,9413,
2014-08,2040,
2014-09,269,
2014-10,3542,
2014-11,6247,
2014-12,23820,
2015-01,-2682,
