"",BBFB1.Q.N.DE.S1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:25,
1991-01,11366.324,
1991-04,11724.220,
1991-07,12819.867,
1991-10,11830.946,
1992-01,11942.881,
1992-04,10906.815,
1992-07,11048.136,
1992-10,11269.771,
1993-01,11184.616,
1993-04,10928.864,
1993-07,11966.232,
1993-10,11871.448,
1994-01,12105.499,
1994-04,11351.160,
1994-07,11953.725,
1994-10,12456.231,
1995-01,11954.906,
1995-04,11917.746,
1995-07,12511.857,
1995-10,13243.561,
1996-01,12828.790,
1996-04,11869.986,
1996-07,12273.524,
1996-10,12262.799,
1997-01,13363.104,
1997-04,13469.759,
1997-07,14841.957,
1997-10,14808.230,
1998-01,15186.072,
1998-04,14612.984,
1998-07,14747.740,
1998-10,14737.422,
1999-01,14579.235,
1999-04,14857.630,
1999-07,16628.109,
1999-10,17919.075,
2000-01,19174.591,
2000-04,19937.820,
2000-07,21317.416,
2000-10,23458.255,
2001-01,20785.028,
2001-04,19332.544,
2001-07,19002.301,
2001-10,19650.212,
2002-01,17736.029,
2002-04,18185.665,
2002-07,18793.959,
2002-10,20269.617,
2003-01,20063.146,
2003-04,18978.194,
2003-07,19349.887,
2003-10,22071.603,
2004-01,21321.940,
2004-04,22175.415,
2004-07,24162.443,
2004-10,26573.684,
2005-01,22903.973,
2005-04,24862.753,
2005-07,27033.262,
2005-10,31151.769,
2006-01,30470.621,
2006-04,28998.091,
2006-07,30018.399,
2006-10,34146.938,
2007-01,33367.333,
2007-04,29731.723,
2007-07,33168.074,
2007-10,34303.208,
2008-01,33889.767,
2008-04,31244.342,
2008-07,34727.122,
2008-10,35589.517,
2009-01,29739.877,
2009-04,26298.377,
2009-07,30963.483,
2009-10,31502.835,
2010-01,34259.473,
2010-04,38130.673,
2010-07,42649.213,
2010-10,42460.247,
2011-01,41672.788,
2011-04,40543.378,
2011-07,43787.708,
2011-10,42178.823,
2012-01,41327.401,
2012-04,38784.132,
2012-07,41757.645,
2012-10,39611.486,
2013-01,39012.717,
2013-04,37514.179,
2013-07,41669.166,
2013-10,38313.420,
2014-01,39732.103,Provisional value
2014-04,37346.870,Provisional value
2014-07,42590.490,Provisional value
