"",BBK01.OEAC34N,BBK01.OEAC34N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:16,
2002-01,1.157,
2002-04,1.160,
2002-07,1.150,
2002-10,1.136,
2003-01,1.138,
2003-04,1.109,
2003-07,1.076,
2003-10,1.051,
2004-01,0.993,
2004-04,0.976,
2004-07,0.978,
2004-10,0.927,
2005-01,0.983,
2005-04,0.895,
2005-07,0.872,
2005-10,0.853,
2006-01,0.837,
2006-04,0.844,
2006-07,0.898,
2006-10,0.890,
2007-01,0.884,
2007-04,0.894,
2007-07,0.894,
2007-10,0.895,
2008-01,0.950,
2008-04,1.001,
2008-07,1.023,
2008-10,1.080,
2009-01,1.470,
2009-04,1.391,
2009-07,1.378,
2009-10,1.321,
2010-01,1.410,
2010-04,1.421,
2010-07,1.469,
2010-10,1.474,
2011-01,1.426,
2011-04,1.447,
2011-07,1.510,
2011-10,1.591,
2012-01,1.597,
2012-04,1.461,
2012-07,1.386,
2012-10,1.420,
2013-01,1.425,
2013-04,1.414,
2013-07,1.400,
2013-10,1.377,
2014-01,1.380,
2014-04,1.393,
2014-07,1.470,
