"",BBFB1.Q.N.DE.US.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:39,
1991-01,-101.059,
1991-04,-57.327,
1991-07,-84.796,
1991-10,-57.869,
1992-01,-228.268,
1992-04,-205.055,
1992-07,-181.165,
1992-10,-220.504,
1993-01,-27.858,
1993-04,-32.628,
1993-07,-31.446,
1993-10,-79.498,
1994-01,-364.133,
1994-04,-368.177,
1994-07,-418.984,
1994-10,-509.440,
1995-01,-48.227,
1995-04,25.009,
1995-07,10.275,
1995-10,-84.836,
1996-01,105.907,
1996-04,166.082,
1996-07,161.747,
1996-10,167.961,
1997-01,100.145,
1997-04,136.678,
1997-07,143.972,
1997-10,124.731,
1998-01,176.714,
1998-04,690.690,
1998-07,675.420,
1998-10,674.752,
1999-01,-626.737,
1999-04,-547.999,
1999-07,-520.041,
1999-10,-575.783,
2000-01,-109.186,
2000-04,-201.084,
2000-07,-191.712,
2000-10,-594.638,
2001-01,-2104.076,
2001-04,-1901.753,
2001-07,-2018.618,
2001-10,-2260.182,
2002-01,-973.106,
2002-04,-813.974,
2002-07,-1071.433,
2002-10,-1527.852,
2003-01,-371.916,
2003-04,-576.163,
2003-07,-412.536,
2003-10,-685.029,
2004-01,645.172,
2004-04,754.757,
2004-07,774.205,
2004-10,185.075,
2005-01,1028.144,
2005-04,1148.055,
2005-07,1247.460,
2005-10,578.046,
2006-01,1182.172,
2006-04,773.866,
2006-07,1436.010,
2006-10,1121.250,
2007-01,-809.933,
2007-04,-132.536,
2007-07,-75.536,
2007-10,-437.483,
2008-01,-2963.516,
2008-04,-1095.571,
2008-07,-682.917,
2008-10,-2540.703,
2009-01,-410.699,
2009-04,250.062,
2009-07,258.596,
2009-10,-357.328,
2010-01,512.141,
2010-04,-13.745,
2010-07,911.910,
2010-10,-1016.985,
2011-01,798.767,
2011-04,1049.896,
2011-07,305.630,
2011-10,-372.063,
2012-01,330.648,
2012-04,1287.494,
2012-07,801.889,
2012-10,810.362,
2013-01,-1337.288,
2013-04,-664.617,
2013-07,-1621.219,
2013-10,-626.058,
2014-01,-1079.799,Provisional value
2014-04,-671.496,Provisional value
2014-07,-2937.484,Provisional value
2014-10,-2217.625,Provisional value
