"",BBK01.OEXJ05H,BBK01.OEXJ05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:47,
2002-01,0.829,
2002-04,0.842,
2002-07,0.850,
2002-10,0.856,
2003-01,0.891,
2003-04,0.870,
2003-07,0.901,
2003-10,0.898,
2004-01,0.865,
2004-04,0.869,
2004-07,0.890,
2004-10,0.933,
2005-01,0.884,
2005-04,0.848,
2005-07,0.834,
2005-10,0.828,
2006-01,0.822,
2006-04,0.831,
2006-07,0.829,
2006-10,0.837,
2007-01,0.827,
2007-04,0.835,
2007-07,0.910,
2007-10,0.909,
2008-01,0.886,
2008-04,0.896,
2008-07,0.913,
2008-10,0.909,
2009-01,0.942,
2009-04,1.030,
2009-07,1.011,
2009-10,0.977,
2010-01,1.054,
2010-04,1.155,
2010-07,1.174,
2010-10,1.226,
2011-01,1.143,
2011-04,1.204,
2011-07,1.282,
2011-10,1.430,
2012-01,1.480,
2012-04,1.708,
2012-07,2.747,
2012-10,2.966,
2013-01,2.952,
2013-04,3.142,
2013-07,3.353,
2013-10,3.456,
2014-01,3.561,
2014-04,3.917,
2014-07,4.034,
