"",BBK01.OEXB11K,BBK01.OEXB11K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:30,
2002-01,0.876,
2002-04,0.828,
2002-07,0.910,
2002-10,0.894,
2003-01,0.961,
2003-04,1.033,
2003-07,1.362,
2003-10,1.298,
2004-01,1.448,
2004-04,1.439,
2004-07,1.535,
2004-10,0.845,
2005-01,0.707,
2005-04,0.735,
2005-07,0.678,
2005-10,0.745,
2006-01,0.826,
2006-04,0.865,
2006-07,0.860,
2006-10,0.975,
2007-01,1.036,
2007-04,1.193,
2007-07,1.206,
2007-10,1.241,
2008-01,1.275,
2008-04,1.349,
2008-07,1.469,
2008-10,1.357,
2009-01,1.433,
2009-04,1.646,
2009-07,1.486,
2009-10,1.604,
2010-01,1.560,
2010-04,1.494,
2010-07,1.528,
2010-10,1.312,
2011-01,1.246,
2011-04,1.272,
2011-07,1.265,
2011-10,1.209,
2012-01,1.165,
2012-04,1.114,
2012-07,1.093,
2012-10,1.029,
2013-01,1.140,
2013-04,1.180,
2013-07,1.137,
2013-10,1.199,
2014-01,1.017,
2014-04,1.062,
2014-07,1.197,
