"",BBSF2.M.1.T.00000.DGE01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DGE01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Funds-of-funds: Mixed funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:48,
2009-09,22,
2009-10,22,
2009-11,22,
2009-12,24,
2010-01,24,
2010-02,27,
2010-03,27,
2010-04,29,
2010-05,35,
2010-06,33,
2010-07,34,
2010-08,36,
2010-09,35,
2010-10,35,
2010-11,33,
2010-12,33,
2011-01,34,
2011-02,33,
2011-03,31,
2011-04,31,
2011-05,31,
2011-06,29,
2011-07,30,
2011-08,30,
2011-09,30,
2011-10,30,
2011-11,31,
2011-12,32,
2012-01,39,
2012-02,42,
2012-03,42,
2012-04,62,
2012-05,65,
2012-06,65,
2012-07,71,
2012-08,75,
2012-09,80,
2012-10,80,
2012-11,80,
2012-12,82,
2013-01,86,
2013-02,81,
2013-03,86,
2013-04,87,
2013-05,90,
2013-06,89,
2013-07,91,
2013-08,88,
2013-09,87,
2013-10,150,
2013-11,153,
2013-12,156,
2014-01,158,
2014-02,161,
2014-03,205,
2014-04,213,
2014-05,214,
2014-06,215,
2014-07,213,
2014-08,95,
2014-09,100,
2014-10,173,
2014-11,109,
