"",BBK01.OEXB04S,BBK01.OEXB04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:00,
2002-01,4.241,
2002-04,4.231,
2002-07,4.176,
2002-10,4.273,
2003-01,4.309,
2003-04,4.371,
2003-07,4.426,
2003-10,4.490,
2004-01,4.472,
2004-04,4.474,
2004-07,4.540,
2004-10,4.659,
2005-01,4.680,
2005-04,4.782,
2005-07,4.764,
2005-10,4.750,
2006-01,4.833,
2006-04,4.858,
2006-07,4.924,
2006-10,4.970,
2007-01,5.007,
2007-04,5.058,
2007-07,5.140,
2007-10,5.341,
2008-01,5.274,
2008-04,5.268,
2008-07,5.304,
2008-10,5.371,
2009-01,5.410,
2009-04,5.460,
2009-07,5.574,
2009-10,5.692,
2010-01,5.713,
2010-04,5.735,
2010-07,5.928,
2010-10,6.054,
2011-01,6.152,
2011-04,6.258,
2011-07,6.388,
2011-10,6.560,
2012-01,6.626,
2012-04,6.706,
2012-07,6.797,
2012-10,6.856,
2013-01,6.927,
2013-04,6.925,
2013-07,6.973,
2013-10,7.016,
2014-01,6.985,
2014-04,6.913,
2014-07,6.971,
