"",BBK01.OEAH06S,BBK01.OEAH06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:09,
2002-01,0.036,
2002-04,0.038,
2002-07,0.036,
2002-10,0.036,
2003-01,0.011,
2003-04,0.013,
2003-07,0.011,
2003-10,0.013,
2004-01,0.025,
2004-04,0.022,
2004-07,0.027,
2004-10,0.029,
2005-01,0.054,
2005-04,0.054,
2005-07,0.051,
2005-10,0.052,
2006-01,0.059,
2006-04,0.066,
2006-07,0.067,
2006-10,0.063,
2007-01,0.066,
2007-04,0.074,
2007-07,0.103,
2007-10,0.143,
2008-01,0.174,
2008-04,0.208,
2008-07,0.224,
2008-10,0.229,
2009-01,0.215,
2009-04,0.170,
2009-07,0.156,
2009-10,0.127,
2010-01,0.114,
2010-04,0.116,
2010-07,0.107,
2010-10,0.109,
2011-01,0.103,
2011-04,0.099,
2011-07,0.085,
2011-10,0.120,
2012-01,0.154,
2012-04,0.153,
2012-07,0.143,
2012-10,0.111,
2013-01,0.153,
2013-04,0.153,
2013-07,0.169,
2013-10,0.186,
2014-01,0.212,
2014-04,0.217,
2014-07,0.206,
