"",BBEX3.M.HRK.EUR.BB.AC.A01,BBEX3.M.HRK.EUR.BB.AC.A01_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = HRK ... / Croatia,
unit,HRK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:29,
2000-01,7.7473,
2000-02,7.7573,
2000-03,7.7445,
2000-04,7.7080,
2000-05,7.6725,
2000-06,7.6304,
2000-07,7.6023,
2000-08,7.5463,
2000-09,7.5225,
2000-10,7.5547,
2000-11,7.5677,
2000-12,7.5800,
2001-01,7.7280,
2001-02,7.7302,
2001-03,7.6776,
2001-04,7.5000,
2001-05,7.3250,
2001-06,7.3500,
2001-07,7.1899,
2001-08,7.5910,
2001-09,7.5600,
2001-10,7.4060,
2001-11,7.4400,
2001-12,7.3490,
2002-01,7.5810,
2002-02,7.4300,
2002-03,7.4100,
2002-04,7.4140,
2002-05,7.3790,
2002-06,7.3233,
2002-07,7.4250,
2002-08,7.3700,
2002-09,7.3530,
2002-10,7.4880,
2002-11,7.4280,
2002-12,7.4750,
2003-01,7.5675,
2003-02,7.6595,
2003-03,7.6645,
2003-04,7.5845,
2003-05,7.5450,
2003-06,7.4966,
2003-07,7.5470,
2003-08,7.4695,
2003-09,7.5440,
2003-10,7.5851,
2003-11,7.6695,
2003-12,7.6451,
2004-01,7.6690,
2004-02,7.5803,
2004-03,7.4740,
2004-04,7.4760,
2004-05,7.3622,
2004-06,7.3450,
2004-07,7.4000,
2004-08,7.3679,
2004-09,7.5812,
2004-10,7.4852,
2004-11,7.5365,
2004-12,7.6650,
2005-01,7.4955,
2005-02,7.5010,
2005-03,7.4170,
2005-04,7.3620,
2005-05,7.3270,
2005-06,7.3130,
2005-07,7.3030,
2005-08,7.4285,
2005-09,7.4330,
2005-10,7.3800,
2005-11,7.3830,
2005-12,7.3715,
2006-01,7.3510,
2006-02,7.3045,
2006-03,7.3420,
2006-04,7.2901,
2006-05,7.2650,
2006-06,7.2445,
2006-07,7.2520,
2006-08,7.3408,
2006-09,7.3895,
2006-10,7.3631,
2006-11,7.3615,
2006-12,7.3504,
2007-01,7.3675,
2007-02,7.3488,
2007-03,7.4050,
2007-04,7.3615,
2007-05,7.3140,
2007-06,7.3035,
2007-07,7.3085,
2007-08,7.3207,
2007-09,7.2773,
2007-10,7.3463,
2007-11,7.3240,
2007-12,7.3308,
2008-01,7.2284,
2008-02,7.2715,
2008-03,7.2690,
2008-04,7.2681,
2008-05,7.2498,
2008-06,7.2365,
2008-07,7.2263,
2008-08,7.1515,
2008-09,7.1049,
2008-10,7.1696,
2008-11,7.1288,
2008-12,7.3555,
2009-01,7.3700,
2009-02,7.4334,
2009-03,7.4769,
2009-04,7.4101,
2009-05,7.3500,
2009-06,7.2730,
2009-07,7.3523,
2009-08,7.3640,
2009-09,7.2580,
2009-10,7.2295,
2009-11,7.3160,
2009-12,7.3000,
2010-01,7.3150,
2010-02,7.2756,
2010-03,7.2638,
2010-04,7.2530,
2010-05,7.2635,
2010-06,7.1980,
2010-07,7.2361,
2010-08,7.2725,
2010-09,7.3058,
2010-10,7.3470,
2010-11,7.4260,
2010-12,7.3830,
2011-01,7.4171,
2011-02,7.4279,
2011-03,7.3778,
2011-04,7.3615,
2011-05,7.4460,
2011-06,7.4018,
2011-07,7.4375,
2011-08,7.4848,
2011-09,7.4995,
2011-10,7.4970,
2011-11,7.5025,
2011-12,7.5370,
2012-01,7.5780,
2012-02,7.5740,
2012-03,7.5125,
2012-04,7.5030,
2012-05,7.5675,
2012-06,7.5178,
2012-07,7.5175,
2012-08,7.4730,
2012-09,7.4468,
2012-10,7.5270,
2012-11,7.5385,
2012-12,7.5575,
2013-01,7.5940,
2013-02,7.5855,
2013-03,7.5940,
2013-04,7.5905,
2013-05,7.5500,
2013-06,7.4495,
2013-07,7.5065,
2013-08,7.5683,
2013-09,7.6153,
2013-10,7.6210,
2013-11,7.6405,
2013-12,7.6265,
2014-01,7.6515,
2014-02,7.6493,
2014-03,7.6475,
2014-04,7.6078,
2014-05,7.5860,
2014-06,7.5760,
2014-07,7.6360,
2014-08,7.6210,
2014-09,7.6425,
2014-10,7.6640,
2014-11,7.6785,
2014-12,7.6580,
2015-01,7.6975,
2015-02,7.6885,
"","General: Up to March 2005, ECB indicative rates. Since April 2005 euro foreign exchange reference rates of the ECB, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
