"",BBK01.OEYM02Q,BBK01.OEYM02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:40,
2002-01,0.038,
2002-04,0.042,
2002-07,0.043,
2002-10,0.054,
2003-01,0.080,
2003-04,0.075,
2003-07,0.339,
2003-10,0.182,
2004-01,0.137,
2004-04,0.075,
2004-07,0.068,
2004-10,0.109,
2005-01,0.166,
2005-04,0.151,
2005-07,0.125,
2005-10,0.196,
2006-01,0.201,
2006-04,0.346,
2006-07,0.227,
2006-10,0.193,
2007-01,0.191,
2007-04,0.184,
2007-07,0.123,
2007-10,0.047,
2008-01,0.119,
2008-04,0.064,
2008-07,0.070,
2008-10,0.069,
2009-01,0.782,
2009-04,1.492,
2009-07,1.865,
2009-10,0.105,
2010-01,0.366,
2010-04,0.548,
2010-07,0.324,
2010-10,-,Nothing exists
2011-01,0.806,
2011-04,1.498,
2011-07,0.699,
2011-10,0.323,
2012-01,0.545,
2012-04,0.343,
2012-07,0.498,
2012-10,0.036,
2013-01,0.339,
2013-04,0.926,
2013-07,0.472,
2013-10,0.947,
2014-01,0.709,
2014-04,0.702,
2014-07,0.860,
