"",BBK01.OEAD39N,BBK01.OEAD39N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:38,
2002-01,0.848,
2002-04,0.857,
2002-07,0.845,
2002-10,0.841,
2003-01,0.774,
2003-04,0.729,
2003-07,0.702,
2003-10,0.658,
2004-01,0.653,
2004-04,0.635,
2004-07,0.626,
2004-10,0.682,
2005-01,0.615,
2005-04,0.613,
2005-07,0.588,
2005-10,0.564,
2006-01,0.576,
2006-04,0.576,
2006-07,0.561,
2006-10,0.582,
2007-01,0.578,
2007-04,0.539,
2007-07,0.530,
2007-10,0.528,
2008-01,0.508,
2008-04,0.533,
2008-07,0.531,
2008-10,0.523,
2009-01,0.526,
2009-04,0.527,
2009-07,0.520,
2009-10,0.506,
2010-01,0.500,
2010-04,0.504,
2010-07,0.531,
2010-10,0.530,
2011-01,0.523,
2011-04,0.499,
2011-07,0.493,
2011-10,0.484,
2012-01,0.451,
2012-04,0.446,
2012-07,0.438,
2012-10,0.426,
2013-01,0.435,
2013-04,0.437,
2013-07,0.435,
2013-10,0.441,
2014-01,0.435,
2014-04,0.436,
2014-07,0.434,
