"",BBK01.OEYB06M,BBK01.OEYB06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:17,
2002-01,5.797,
2002-04,6.739,
2002-07,6.719,
2002-10,6.163,
2003-01,6.692,
2003-04,6.508,
2003-07,6.563,
2003-10,6.663,
2004-01,6.064,
2004-04,7.748,
2004-07,7.564,
2004-10,6.310,
2005-01,7.234,
2005-04,7.132,
2005-07,5.596,
2005-10,5.616,
2006-01,5.403,
2006-04,6.091,
2006-07,5.907,
2006-10,6.047,
2007-01,5.550,
2007-04,5.982,
2007-07,7.002,
2007-10,6.135,
2008-01,7.511,
2008-04,6.605,
2008-07,5.771,
2008-10,5.447,
2009-01,6.654,
2009-04,6.159,
2009-07,6.234,
2009-10,5.596,
2010-01,6.368,
2010-04,4.421,
2010-07,4.570,
2010-10,5.221,
2011-01,5.407,
2011-04,6.221,
2011-07,5.987,
2011-10,7.143,
2012-01,5.861,
2012-04,5.809,
2012-07,5.852,
2012-10,6.609,
2013-01,5.222,
2013-04,5.050,
2013-07,4.943,
2013-10,5.669,
2014-01,4.464,
2014-04,4.632,
2014-07,5.115,
