"",BBK01.OEXJ03Q,BBK01.OEXJ03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:38,
2002-01,0.402,
2002-04,0.417,
2002-07,0.413,
2002-10,0.497,
2003-01,0.416,
2003-04,0.392,
2003-07,0.337,
2003-10,0.341,
2004-01,0.332,
2004-04,0.336,
2004-07,0.332,
2004-10,0.090,
2005-01,0.096,
2005-04,0.094,
2005-07,0.109,
2005-10,0.103,
2006-01,0.107,
2006-04,0.109,
2006-07,0.120,
2006-10,0.118,
2007-01,0.127,
2007-04,0.127,
2007-07,0.138,
2007-10,0.133,
2008-01,0.154,
2008-04,0.170,
2008-07,0.148,
2008-10,0.130,
2009-01,0.133,
2009-04,0.131,
2009-07,0.134,
2009-10,0.129,
2010-01,0.139,
2010-04,0.139,
2010-07,0.136,
2010-10,0.127,
2011-01,0.135,
2011-04,0.107,
2011-07,0.106,
2011-10,0.108,
2012-01,0.093,
2012-04,0.089,
2012-07,0.102,
2012-10,0.128,
2013-01,0.095,
2013-04,0.079,
2013-07,0.084,
2013-10,0.089,
2014-01,0.089,
2014-04,0.120,
2014-07,0.124,
