"",BBSF2.M.1.S.00000.IMM01.I.F.DGG.DE.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.DGG.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Loans granted to real estate companies / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:49,
2009-09,78,
2009-10,41,
2009-11,41,
2009-12,92,
2010-01,81,
2010-02,15,
2010-03,45,
2010-04,21,
2010-05,15,
2010-06,36,
2010-07,35,
2010-08,21,
2010-09,20,
2010-10,21,
2010-11,35,
2010-12,71,
2011-01,67,
2011-02,67,
2011-03,67,
2011-04,78,
2011-05,79,
2011-06,100,
2011-07,101,
2011-08,101,
2011-09,107,
2011-10,106,
2011-11,107,
2011-12,123,
2012-01,160,
2012-02,159,
2012-03,130,
2012-04,168,
2012-05,132,
2012-06,138,
2012-07,189,
2012-08,200,
2012-09,202,
2012-10,190,
2012-11,192,
2012-12,213,
2013-01,240,
2013-02,396,
2013-03,350,
2013-04,352,
2013-05,365,
2013-06,608,
2013-07,643,
2013-08,654,
2013-09,677,
2013-10,627,
2013-11,634,
2013-12,638,
2014-01,674,
2014-02,665,
2014-03,671,
2014-04,652,
2014-05,724,
2014-06,739,
2014-07,792,
2014-08,846,
2014-09,623,
2014-10,623,
2014-11,657,
