"",BBK01.OEAH60P,BBK01.OEAH60P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:44,
2002-01,0.903,
2002-04,0.849,
2002-07,0.835,
2002-10,0.828,
2003-01,0.804,
2003-04,0.729,
2003-07,0.702,
2003-10,0.683,
2004-01,0.668,
2004-04,0.665,
2004-07,0.632,
2004-10,0.605,
2005-01,0.618,
2005-04,0.610,
2005-07,0.590,
2005-10,0.603,
2006-01,0.598,
2006-04,0.587,
2006-07,0.588,
2006-10,0.622,
2007-01,0.685,
2007-04,0.726,
2007-07,0.817,
2007-10,0.902,
2008-01,0.991,
2008-04,1.070,
2008-07,1.252,
2008-10,1.500,
2009-01,1.240,
2009-04,1.032,
2009-07,0.779,
2009-10,0.617,
2010-01,0.489,
2010-04,0.431,
2010-07,0.358,
2010-10,0.365,
2011-01,0.357,
2011-04,0.377,
2011-07,0.408,
2011-10,0.517,
2012-01,0.567,
2012-04,0.530,
2012-07,0.473,
2012-10,0.438,
2013-01,0.306,
2013-04,0.295,
2013-07,0.271,
2013-10,0.265,
2014-01,0.226,
2014-04,0.200,
2014-07,0.201,
