"",BBK01.OECK02P,BBK01.OECK02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:47,
2002-01,0.030,
2002-04,0.033,
2002-07,0.032,
2002-10,0.030,
2003-01,0.030,
2003-04,0.031,
2003-07,0.031,
2003-10,0.028,
2004-01,0.037,
2004-04,0.037,
2004-07,0.037,
2004-10,0.031,
2005-01,0.040,
2005-04,0.045,
2005-07,0.046,
2005-10,0.068,
2006-01,0.048,
2006-04,0.043,
2006-07,0.040,
2006-10,0.039,
2007-01,0.040,
2007-04,0.041,
2007-07,0.045,
2007-10,0.044,
2008-01,0.041,
2008-04,0.041,
2008-07,0.043,
2008-10,0.048,
2009-01,0.055,
2009-04,0.057,
2009-07,0.056,
2009-10,0.060,
2010-01,0.058,
2010-04,0.060,
2010-07,0.065,
2010-10,0.073,
2011-01,0.064,
2011-04,0.065,
2011-07,0.077,
2011-10,0.064,
2012-01,0.074,
2012-04,0.075,
2012-07,0.078,
2012-10,0.081,
2013-01,0.079,
2013-04,0.081,
2013-07,0.083,
2013-10,0.090,
2014-01,0.087,
2014-04,0.088,
2014-07,0.098,
