"",BBK01.OECO04H,BBK01.OECO04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:49,
2002-01,-0.107,
2002-04,-0.894,
2002-07,0.068,
2002-10,0.253,
2003-01,0.215,
2003-04,0.251,
2003-07,0.370,
2003-10,-0.044,
2004-01,0.169,
2004-04,-0.058,
2004-07,0.469,
2004-10,0.344,
2005-01,-0.157,
2005-04,0.256,
2005-07,-0.106,
2005-10,-0.520,
2006-01,-0.162,
2006-04,-0.164,
2006-07,-0.358,
2006-10,-0.247,
2007-01,0.192,
2007-04,-0.225,
2007-07,-0.285,
2007-10,0.066,
2008-01,-0.073,
2008-04,0.374,
2008-07,-0.332,
2008-10,0.236,
2009-01,0.555,
2009-04,0.628,
2009-07,0.876,
2009-10,0.399,
2010-01,0.339,
2010-04,-0.010,
2010-07,0.192,
2010-10,0.175,
2011-01,-0.134,
2011-04,-0.649,
2011-07,-0.452,
2011-10,-0.103,
2012-01,0.885,
2012-04,-0.459,
2012-07,0.155,
2012-10,0.445,
2013-01,-0.125,
2013-04,-0.259,
2013-07,-0.528,
2013-10,-0.222,
2014-01,-0.314,
2014-04,-0.127,
2014-07,0.146,
