"",BBSF2.M.1.S.I1314.GEF01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1314.GEF01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Sales receipts / Social security funds / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:58,
2009-09,285,
2009-10,165,
2009-11,35,
2009-12,24,
2010-01,1,
2010-02,15,
2010-03,62,
2010-04,1,
2010-05,32,
2010-06,16,
2010-07,100,
2010-08,353,
2010-09,0,
2010-10,500,
2010-11,20,
2010-12,42,
2011-01,75,
2011-02,1,
2011-03,1,
2011-04,63,
2011-05,103,
2011-06,74,
2011-07,55,
2011-08,36,
2011-09,30,
2011-10,41,
2011-11,2,
2011-12,56,
2012-01,106,
2012-02,84,
2012-03,13,
2012-04,63,
2012-05,54,
2012-06,17,
2012-07,80,
2012-08,1,
2012-09,-,Nothing exists
2012-10,31,
2012-11,7,
2012-12,95,
2013-01,0,
2013-02,40,
2013-03,6,
2013-04,1,
2013-05,297,
2013-06,71,
2013-07,62,
2013-08,60,
2013-09,35,
2013-10,61,
2013-11,6,
2013-12,24,
2014-01,50,
2014-02,458,
2014-03,25,
2014-04,118,
2014-05,95,
2014-06,1,
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,40,
2014-10,85,
2014-11,376,
