"",BBK01.OEAH34L,BBK01.OEAH34L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:16,
2002-01,0.369,
2002-04,0.337,
2002-07,0.357,
2002-10,0.352,
2003-01,0.604,
2003-04,0.321,
2003-07,0.295,
2003-10,0.394,
2004-01,0.495,
2004-04,0.475,
2004-07,0.499,
2004-10,0.446,
2005-01,0.570,
2005-04,0.577,
2005-07,0.695,
2005-10,0.613,
2006-01,0.611,
2006-04,0.649,
2006-07,0.781,
2006-10,0.834,
2007-01,1.112,
2007-04,1.146,
2007-07,1.201,
2007-10,1.272,
2008-01,1.286,
2008-04,1.202,
2008-07,1.234,
2008-10,1.153,
2009-01,1.319,
2009-04,1.387,
2009-07,1.361,
2009-10,1.165,
2010-01,1.146,
2010-04,1.294,
2010-07,1.136,
2010-10,1.179,
2011-01,1.174,
2011-04,1.193,
2011-07,1.292,
2011-10,1.362,
2012-01,1.415,
2012-04,1.296,
2012-07,1.587,
2012-10,1.521,
2013-01,1.621,
2013-04,2.081,
2013-07,1.472,
2013-10,1.553,
2014-01,1.438,
2014-04,1.446,
2014-07,1.609,
