"",BBFN1.M.DE.N.1.A.US.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.US.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / United States,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:44,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,7.907,
1995-01,7.691,
1995-02,7.541,
1995-03,7.819,
1995-04,7.818,
1995-05,7.948,
1995-06,8.152,
1995-07,7.965,
1995-08,7.673,
1995-09,7.338,
1995-10,7.202,
1995-11,7.151,
1995-12,7.279,
1996-01,7.035,
1996-02,6.998,
1996-03,7.222,
1996-04,7.139,
1996-05,7.122,
1996-06,7.290,
1996-07,7.366,
1996-08,7.266,
1996-09,7.418,
1996-10,7.616,
1996-11,7.744,
1996-12,8.245,
1997-01,8.145,
1997-02,8.326,
1997-03,8.788,
1997-04,9.167,
1997-05,8.379,
1997-06,8.779,
1997-07,8.976,
1997-08,8.782,
1997-09,9.215,
1997-10,9.409,
1997-11,9.287,
1997-12,9.675,
1998-01,9.490,
1998-02,9.639,
1998-03,10.189,
1998-04,10.339,
1998-05,10.159,
1998-06,9.968,
1998-07,10.100,
1998-08,10.169,
1998-09,10.378,
1998-10,10.420,
1998-11,10.587,
1998-12,10.534,
1999-01,10.137,
1999-02,10.276,
1999-03,10.432,
1999-04,10.870,
1999-05,10.827,
1999-06,11.261,
1999-07,11.488,
1999-08,11.514,
1999-09,11.518,
1999-10,11.772,
1999-11,12.281,
1999-12,12.179,
2000-01,12.387,
2000-02,12.101,
2000-03,12.992,
2000-04,12.664,
2000-05,13.128,
2000-06,13.011,
2000-07,13.228,
2000-08,12.930,
2000-09,13.526,
2000-10,13.640,
2000-11,13.896,
2000-12,14.540,
2001-01,13.690,
2001-02,12.934,
2001-03,13.760,
2001-04,13.409,
2001-05,13.087,
2001-06,13.790,
2001-07,13.860,
2001-08,12.952,
2001-09,13.361,
2001-10,14.038,
2001-11,13.437,
2001-12,13.305,
2002-01,13.485,
2002-02,12.911,
2002-03,12.361,
2002-04,12.538,
2002-05,12.552,
2002-06,12.818,
2002-07,13.133,
2002-08,12.326,
2002-09,12.896,
2002-10,13.896,
2002-11,13.108,
2002-12,12.844,
2003-01,12.689,
2003-02,12.379,
2003-03,12.660,
2003-04,12.248,
2003-05,11.613,
2003-06,11.797,
2003-07,11.915,
2003-08,11.156,
2003-09,11.852,
2003-10,11.892,
2003-11,11.637,
2003-12,11.712,
2004-01,11.199,
2004-02,11.096,
2004-03,11.942,
2004-04,11.858,
2004-05,11.520,
2004-06,12.521,
2004-07,12.189,
2004-08,11.839,
2004-09,12.814,
2004-10,12.302,
2004-11,12.532,
2004-12,11.799,
2005-01,11.423,
2005-02,11.561,
2005-03,12.318,
2005-04,11.706,
2005-05,12.153,
2005-06,13.136,
2005-07,12.349,
2005-08,12.691,
2005-09,13.848,
2005-10,13.343,
2005-11,13.649,
2005-12,14.400,
2006-01,13.932,
2006-02,13.786,
2006-03,14.620,
2006-04,13.847,
2006-05,14.319,
2006-06,14.586,
2006-07,13.968,
2006-08,13.582,
2006-09,14.091,
2006-10,13.529,
2006-11,13.815,
2006-12,14.244,
2007-01,13.586,
2007-02,13.261,
2007-03,14.048,
2007-04,12.915,
2007-05,13.123,
2007-06,13.715,
2007-07,13.422,
2007-08,13.415,
2007-09,13.844,
2007-10,13.570,
2007-11,14.140,
2007-12,13.488,
2008-01,12.630,
2008-02,12.951,
2008-03,12.868,
2008-04,12.758,
2008-05,13.074,
2008-06,13.382,
2008-07,13.058,
2008-08,13.012,
2008-09,13.171,
2008-10,12.940,
2008-11,13.105,
2008-12,12.979,
2009-01,12.267,
2009-02,12.050,
2009-03,12.313,
2009-04,11.360,
2009-05,11.033,
2009-06,11.542,
2009-07,11.278,
2009-08,10.952,
2009-09,11.432,
2009-10,11.286,
2009-11,11.870,
2009-12,11.440,
2010-01,10.702,
2010-02,11.507,
2010-03,12.561,
2010-04,12.220,
2010-05,12.436,
2010-06,12.964,
2010-07,12.377,
2010-08,12.430,
2010-09,13.226,
2010-10,12.665,
2010-11,13.514,
2010-12,13.424,
2011-01,12.994,
2011-02,13.253,
2011-03,13.418,
2011-04,13.359,
2011-05,13.661,
2011-06,13.649,
2011-07,13.546,
2011-08,13.660,
2011-09,14.126,
2011-10,14.395,
2011-11,14.428,
2011-12,14.178,
2012-01,14.034,
2012-02,14.219,
2012-03,14.871,
2012-04,14.596,
2012-05,14.896,
2012-06,16.136,
2012-07,15.709,
2012-08,15.502,
2012-09,15.754,
2012-10,15.742,
2012-11,16.543,
2012-12,16.396,
2013-01,15.050,
2013-02,15.578,
2013-03,15.686,
2013-04,15.707,
2013-05,14.756,
2013-06,15.149,
2013-07,14.507,
2013-08,14.545,
2013-09,16.002,
2013-10,15.832,
2013-11,15.509,
2013-12,16.412,
2014-01,14.811,
2014-02,15.022,
2014-03,16.214,
2014-04,15.095,
2014-05,14.937,
2014-06,15.711,
2014-07,15.413,
2014-08,15.082,
2014-09,16.396,
2014-10,16.337,
2014-11,16.309,
2014-12,17.532,
