"",BBK01.CEBH0C,BBK01.CEBH0C_FLAGS
"",Shares debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:12,
1991-01,35.2,
1991-04,37.9,
1991-07,36.2,
1991-10,35.2,
1992-01,38.0,
1992-04,37.9,
1992-07,31.2,
1992-10,34.0,
1993-01,37.9,
1993-04,37.8,
1993-07,41.8,
1993-10,40.9,
1994-01,43.9,
1994-04,42.3,
1994-07,41.9,
1994-10,43.3,
1995-01,52.3,
1995-04,56.4,
1995-07,57.8,
1995-10,43.9,
1996-01,46.2,
1996-04,49.6,
1996-07,51.6,
1996-10,52.0,
1997-01,57.6,
1997-04,59.2,
1997-07,60.3,
1997-10,89.0,
1998-01,90.6,
1998-04,101.1,
1998-07,81.0,
1998-10,83.8,
1999-01,86.0,
1999-04,81.2,
1999-07,73.8,
1999-10,100.4,
2000-01,99.9,
2000-04,94.1,
2000-07,91.3,
2000-10,60.3,
2001-01,57.7,
2001-04,56.7,
2001-07,51.9,
2001-10,42.9,
2002-01,45.5,
2002-04,46.5,
2002-07,44.9,
2002-10,44.4,
2003-01,43.9,
2003-04,45.6,
2003-07,45.6,
2003-10,56.6,
2004-01,56.4,
2004-04,56.5,
2004-07,55.8,
2004-10,56.4,
2005-01,59.4,
2005-04,57.3,
2005-07,63.9,
2005-10,53.0,
2006-01,58.9,
2006-04,54.3,
2006-07,54.1,
2006-10,59.3,
2007-01,54.4,
2007-04,56.3,
2007-07,50.1,
2007-10,52.5,
2008-01,44.6,
2008-04,44.5,
2008-07,44.8,
2008-10,44.4,
2009-01,41.5,
2009-04,42.6,
2009-07,49.8,
2009-10,51.6,
2010-01,52.2,
2010-04,52.0,
2010-07,54.6,
2010-10,55.0,
2011-01,56.8,
2011-04,58.5,
2011-07,52.0,
2011-10,52.0,
2012-01,56.1,
2012-04,58.2,
2012-07,62.7,
2012-10,63.0,
2013-01,61.9,
2013-04,61.7,
2013-07,65.8,
2013-10,69.6,
2014-01,69.3,
