"",BBEX3.M.BBD.EUR.CA.AC.A01,BBEX3.M.BBD.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Barbados / EUR 1 = BBD ... (middle),
unit,BBD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:55,
1999-01,2.296705,
1999-02,2.228075,
1999-03,2.162160,
1999-04,2.138280,
1999-05,2.098770,
1999-06,2.084155,
1999-07,2.162865,
1999-08,2.106735,
1999-09,2.143520,
1999-10,2.120740,
1999-11,2.048480,
1999-12,2.025605,
2000-01,1.963725,
2000-02,1.949615,
2000-03,1.936210,
2000-04,1.856490,
2000-05,1.878365,
2000-06,1.916255,
2000-07,1.864555,
2000-08,1.798340,
2000-09,1.779795,
2000-10,1.698975,
2000-11,1.726785,
2000-12,1.867980,
2001-01,1.875740,
2001-02,1.858405,
2001-03,1.777180,
2001-04,1.796425,
2001-05,1.726385,
2001-06,1.701590,
2001-07,1.761960,
2001-08,1.850950,
2001-09,1.849840,
2001-10,1.824140,
2001-11,1.787760,
2001-12,1.780100,
2002-01,1.740995,
2002-02,1.741500,
2002-03,1.760350,
2002-04,1.815675,
2002-05,1.894185,
2002-06,1.987505,
2002-07,1.983375,
2002-08,1.984285,
2002-09,1.971785,
2002-10,1.982565,
2002-11,2.003625,
2002-12,2.110860,
2003-01,2.173745,
2003-02,2.166890,
2003-03,2.176365,
2003-04,2.229985,
2003-05,2.390730,
2003-06,2.302340,
2003-07,2.290150,
2003-08,2.191985,
2003-09,2.334190,
2003-10,2.344670,
2003-11,2.399190,
2003-12,2.528695,
2004-01,2.498060,
2004-02,2.506630,
2004-03,2.457645,
2004-04,2.404435,
2004-05,2.442230,
2004-06,2.435275,
2004-07,2.425900,
2004-08,2.429530,
2004-09,2.484555,
2004-10,2.565585,
2004-11,2.678760,
2004-12,2.750015,
2005-01,2.627460,
2005-02,2.666765,
2005-03,2.610535,
2005-04,2.614160,
2005-05,2.514385,
2005-06,2.434465,
2005-07,2.445450,
2005-08,2.463295,
2005-09,2.426605,
2005-10,2.431440,
2005-11,2.388005,
2005-12,2.385585,
2006-01,2.435875,
2006-02,2.389820,
2006-03,2.448980,
2006-04,2.510455,
2006-05,2.596120,
2006-06,2.548955,
2006-07,2.570320,
2006-08,2.586545,
2006-09,2.562160,
2006-10,2.565280,
2006-11,2.656085,
2006-12,2.652655,
2007-01,2.612550,
2007-02,2.669185,
2007-03,2.688335,
2007-04,2.748605,
2007-05,2.706575,
2007-06,2.708895,
2007-07,2.758680,
2007-08,2.749610,
2007-09,2.851905,
2007-10,2.908035,
2007-11,2.979590,
2007-12,2.964880,
2008-01,2.983325,
2008-02,3.067675,
2008-03,3.177930,
2008-04,3.137010,
2008-05,3.151125,
2008-06,3.179035,
2008-07,3.142250,
2008-08,2.963365,
2008-09,2.917105,
2008-10,2.612950,
2008-11,2.596220,
2008-12,2.845550,
2009-01,2.610230,
2009-02,2.574450,
2009-03,2.650340,
2009-04,2.677450,
2009-05,2.812295,
2009-06,2.839205,
2009-07,2.837290,
2009-08,2.880120,
2009-09,2.936860,
2009-10,2.994510,
2009-11,3.025750,
2009-12,2.893425,
2010-01,2.816530,
2010-02,2.726730,
2010-03,2.704665,
2010-04,2.672110,
2010-05,2.478610,
2010-06,2.460165,
2010-07,2.637140,
2010-08,2.553090,
2010-09,2.749610,
2010-10,2.808665,
2010-11,2.667575,
2010-12,2.676950,
2011-01,2.742350,
2011-02,2.771780,
2011-03,2.845955,
2011-04,2.945730,
2011-05,2.878005,
2011-06,2.908035,
2011-07,2.885460,
2011-08,2.902605,
2011-09,2.727140,
2011-10,2.844520,
2011-11,2.678705,
2011-12,2.600720,
2012-01,2.638505,
2012-02,2.702920,
2012-03,2.670560,
2012-04,2.664635,
2012-05,2.488565,
2012-06,2.495800,
2012-07,2.464245,
2012-08,2.517410,
2012-09,2.596495,
2012-10,2.605140,
2012-11,2.598910,
2012-12,2.656595,
2013-01,2.727340,
2013-02,2.631270,
2013-03,2.567555,
2013-04,2.627450,
2013-05,2.622625,
2013-06,2.622225,
2013-07,2.665235,
2013-08,2.661215,
2013-09,2.716690,
2013-10,2.756890,
2013-11,2.733575,
2013-12,2.774980,
2014-01,2.723725,
2014-02,2.755280,
2014-03,2.764120,
2014-04,2.775375,
2014-05,2.734375,
2014-06,2.742420,
2014-07,2.692370,
2014-08,2.649560,
2014-09,2.550870,
2014-10,2.533990,
2014-11,2.505850,
2014-12,2.443745,
2015-01,2.272705,
2015-02,2.250190,
"","Source: Calculated on the basis of the buying and selling rates of the Central Bank of Barbados, Bridgetown.",
