"",BBK01.OEAD33T,BBK01.OEAD33T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:25,
2002-01,0.055,
2002-04,0.054,
2002-07,0.051,
2002-10,0.049,
2003-01,0.047,
2003-04,0.046,
2003-07,0.048,
2003-10,0.046,
2004-01,0.049,
2004-04,0.048,
2004-07,0.046,
2004-10,0.046,
2005-01,0.045,
2005-04,0.044,
2005-07,0.042,
2005-10,0.040,
2006-01,0.041,
2006-04,0.041,
2006-07,0.038,
2006-10,0.037,
2007-01,0.037,
2007-04,0.036,
2007-07,0.037,
2007-10,0.039,
2008-01,0.038,
2008-04,0.042,
2008-07,0.039,
2008-10,0.047,
2009-01,0.045,
2009-04,0.046,
2009-07,0.045,
2009-10,0.040,
2010-01,0.035,
2010-04,0.035,
2010-07,0.035,
2010-10,0.032,
2011-01,0.032,
2011-04,0.026,
2011-07,0.024,
2011-10,0.019,
2012-01,0.019,
2012-04,0.018,
2012-07,0.023,
2012-10,0.022,
2013-01,0.022,
2013-04,0.022,
2013-07,0.025,
2013-10,0.025,
2014-01,0.026,
2014-04,0.026,
2014-07,0.025,
