"",BBK01.CEFM0N,BBK01.CEFM0N_FLAGS
"",Currency                                                           debtor: Total           creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:10,
1999-01,46.1,
1999-04,46.0,
1999-07,46.8,
1999-10,48.3,
2000-01,46.9,
2000-04,47.3,
2000-07,47.0,
2000-10,46.2,
2001-01,46.1,
2001-04,45.8,
2001-07,44.3,
2001-10,37.7,
2002-01,25.4,
2002-04,25.9,
2002-07,23.9,
2002-10,26.5,
2003-01,23.4,
2003-04,24.2,
2003-07,23.1,
2003-10,26.9,
2004-01,20.8,
2004-04,22.0,
2004-07,19.6,
2004-10,22.3,
2005-01,22.1,
2005-04,26.2,
2005-07,27.1,
2005-10,32.5,
2006-01,32.6,
2006-04,36.2,
2006-07,37.9,
2006-10,44.2,
2007-01,45.0,
2007-04,51.1,
2007-07,55.1,
2007-10,59.8,
2008-01,63.9,
2008-04,70.6,
2008-07,75.3,
2008-10,84.7,
2009-01,71.3,
2009-04,74.2,
2009-07,77.4,
2009-10,78.6,
2010-01,80.3,
2010-04,84.9,
2010-07,85.4,
2010-10,87.6,
2011-01,88.1,
2011-04,93.4,
2011-07,97.1,
2011-10,102.4,
2012-01,101.8,
2012-04,107.0,
2012-07,107.3,
2012-10,105.2,
2013-01,101.4,
2013-04,102.7,
2013-07,100.3,
2013-10,104.8,
2014-01,89.9,
2014-04,91.0,
2014-07,89.4,
