"",BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.L,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.L_FLAGS
"","Germany / Imports / At current prices, flows / Aggregate / all goods / Rest of the World / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:58,
1950-01,0.49,
1950-02,0.38,
1950-03,0.39,
1950-04,0.41,
1950-05,0.37,
1950-06,0.42,
1950-07,0.49,
1950-08,0.47,
1950-09,0.51,
1950-10,0.63,
1950-11,0.59,
1950-12,0.62,
1951-01,0.63,
1951-02,0.66,
1951-03,0.63,
1951-04,0.56,
1951-05,0.58,
1951-06,0.57,
1951-07,0.61,
1951-08,0.65,
1951-09,0.81,
1951-10,0.55,
1951-11,0.62,
1951-12,0.64,
1952-01,0.71,
1952-02,0.78,
1952-03,0.72,
1952-04,0.67,
1952-05,0.62,
1952-06,0.62,
1952-07,0.62,
1952-08,0.66,
1952-09,0.64,
1952-10,0.71,
1952-11,0.71,
1952-12,0.78,
1953-01,0.69,
1953-02,0.64,
1953-03,0.63,
1953-04,0.65,
1953-05,0.69,
1953-06,0.71,
1953-07,0.64,
1953-08,0.69,
1953-09,0.69,
1953-10,0.67,
1953-11,0.73,
1953-12,0.73,
1954-01,0.69,
1954-02,0.66,
1954-03,0.77,
1954-04,0.77,
1954-05,0.84,
1954-06,0.84,
1954-07,0.79,
1954-08,0.84,
1954-09,0.86,
1954-10,0.89,
1954-11,0.95,
1954-12,0.92,
1955-01,0.88,
1955-02,1.01,
1955-03,0.97,
1955-04,1.06,
1955-05,1.02,
1955-06,1.01,
1955-07,1.09,
1955-08,1.09,
1955-09,1.09,
1955-10,1.07,
1955-11,1.04,
1955-12,1.11,
1956-01,1.11,
1956-02,0.98,
1956-03,1.08,
1956-04,1.19,
1956-05,1.18,
1956-06,1.24,
1956-07,1.24,
1956-08,1.25,
1956-09,1.25,
1956-10,1.25,
1956-11,1.27,
1956-12,1.19,
1957-01,1.33,
1957-02,1.36,
1957-03,1.35,
1957-04,1.32,
1957-05,1.37,
1957-06,1.35,
1957-07,1.37,
1957-08,1.41,
1957-09,1.38,
1957-10,1.40,
1957-11,1.37,
1957-12,1.31,
1958-01,1.46,
1958-02,1.40,
1958-03,1.34,
1958-04,1.29,
1958-05,1.27,
