"",BBK01.OELI04Q,BBK01.OELI04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:47,
2002-01,2.102,
2002-04,2.008,
2002-07,1.926,
2002-10,2.009,
2003-01,1.982,
2003-04,1.564,
2003-07,1.841,
2003-10,1.674,
2004-01,1.719,
2004-04,1.852,
2004-07,1.733,
2004-10,1.750,
2005-01,1.632,
2005-04,1.670,
2005-07,1.751,
2005-10,2.068,
2006-01,2.030,
2006-04,2.074,
2006-07,2.380,
2006-10,2.063,
2007-01,2.032,
2007-04,1.900,
2007-07,1.948,
2007-10,2.131,
2008-01,2.125,
2008-04,2.188,
2008-07,2.147,
2008-10,2.417,
2009-01,2.085,
2009-04,1.845,
2009-07,1.794,
2009-10,1.639,
2010-01,1.491,
2010-04,1.391,
2010-07,1.363,
2010-10,1.339,
2011-01,1.331,
2011-04,1.379,
2011-07,1.462,
2011-10,1.431,
2012-01,1.390,
2012-04,1.449,
2012-07,1.353,
2012-10,1.381,
2013-01,1.354,
2013-04,1.147,
2013-07,1.143,
2013-10,1.166,
2014-01,1.091,
2014-04,1.062,
2014-07,1.083,
