"",BBK01.OEXL01O,BBK01.OEXL01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:50,
2002-01,-43.378,
2002-04,-43.918,
2002-07,-43.878,
2002-10,-46.929,
2003-01,-48.139,
2003-04,-48.472,
2003-07,-48.847,
2003-10,-51.425,
2004-01,-52.308,
2004-04,-52.885,
2004-07,-52.911,
2004-10,-53.874,
2005-01,1.412,
2005-04,1.438,
2005-07,1.455,
2005-10,1.477,
2006-01,1.503,
2006-04,1.442,
2006-07,1.391,
2006-10,1.463,
2007-01,1.587,
2007-04,1.665,
2007-07,1.798,
2007-10,1.950,
2008-01,2.088,
2008-04,2.106,
2008-07,2.197,
2008-10,2.442,
2009-01,2.440,
2009-04,2.403,
2009-07,2.427,
2009-10,2.364,
2010-01,2.302,
2010-04,2.367,
2010-07,4.664,
2010-10,4.084,
2011-01,4.419,
2011-04,4.408,
2011-07,4.180,
2011-10,3.889,
2012-01,3.650,
2012-04,3.481,
2012-07,3.363,
2012-10,3.199,
2013-01,3.044,
2013-04,2.961,
2013-07,2.924,
2013-10,2.927,
2014-01,2.896,
2014-04,2.888,
2014-07,3.014,
