"",BBK01.CEH20N,BBK01.CEH20N_FLAGS
"",Currency and deposits debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:22,
1991-01,9.1,
1991-04,-5.3,
1991-07,-2.5,
1991-10,2.0,
1992-01,10.3,
1992-04,3.7,
1992-07,17.4,
1992-10,-1.2,
1993-01,6.2,
1993-04,5.4,
1993-07,5.2,
1993-10,11.8,
1994-01,15.3,
1994-04,6.1,
1994-07,11.2,
1994-10,21.5,
1995-01,20.9,
1995-04,19.4,
1995-07,14.3,
1995-10,5.8,
1996-01,11.8,
1996-04,8.5,
1996-07,-8.1,
1996-10,16.1,
1997-01,47.1,
1997-04,29.6,
1997-07,-0.8,
1997-10,30.3,
1998-01,44.5,
1998-04,38.2,
1998-07,5.2,
1998-10,57.4,
1999-01,50.8,
1999-04,13.9,
1999-07,15.4,
1999-10,16.2,
2000-01,84.9,
2000-04,2.4,
2000-07,4.6,
2000-10,21.8,
2001-01,131.4,
2001-04,-24.8,
2001-07,-6.7,
2001-10,-47.8,
2002-01,25.6,
2002-04,8.8,
2002-07,36.9,
2002-10,-15.6,
2003-01,46.8,
2003-04,3.7,
2003-07,-2.3,
2003-10,-18.6,
2004-01,62.6,
2004-04,-49.6,
2004-07,33.3,
2004-10,2.6,
2005-01,68.1,
2005-04,-13.8,
2005-07,8.9,
2005-10,-29.3,
2006-01,61.3,
2006-04,1.8,
2006-07,15.8,
2006-10,-11.9,
2007-01,42.2,
2007-04,32.1,
2007-07,59.4,
2007-10,-34.4,
2008-01,109.4,
2008-04,-28.0,
2008-07,35.4,
2008-10,-162.9,
2009-01,-7.1,
2009-04,-6.2,
2009-07,-45.0,
2009-10,-35.1,
2010-01,56.2,
2010-04,75.4,
2010-07,5.2,
2010-10,-44.0,
2011-01,-38.3,
2011-04,-30.6,
2011-07,94.1,
2011-10,-80.0,
2012-01,225.2,
2012-04,19.8,
2012-07,6.7,
2012-10,-112.9,
2013-01,-30.9,
2013-04,-22.2,
2013-07,-58.2,
2013-10,-80.3,
2014-01,41.2,
