"",BBK01.CEH30X,BBK01.CEH30X_FLAGS
"",Securities other than shares debtor: All sectors                     creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:57,
1991-01,6.4,
1991-04,7.2,
1991-07,4.9,
1991-10,-1.8,
1992-01,5.7,
1992-04,3.5,
1992-07,-4.2,
1992-10,-5.1,
1993-01,5.7,
1993-04,4.5,
1993-07,2.0,
1993-10,3.3,
1994-01,7.8,
1994-04,8.6,
1994-07,4.2,
1994-10,3.4,
1995-01,0.6,
1995-04,-0.2,
1995-07,8.5,
1995-10,3.3,
1996-01,10.6,
1996-04,10.7,
1996-07,4.5,
1996-10,3.7,
1997-01,11.1,
1997-04,17.2,
1997-07,8.9,
1997-10,3.3,
1998-01,12.4,
1998-04,13.8,
1998-07,0.3,
1998-10,1.8,
1999-01,20.6,
1999-04,16.1,
1999-07,15.3,
1999-10,11.2,
2000-01,14.5,
2000-04,3.9,
2000-07,5.4,
2000-10,-10.1,
2001-01,9.5,
2001-04,4.2,
2001-07,2.6,
2001-10,4.4,
2002-01,11.9,
2002-04,1.4,
2002-07,10.4,
2002-10,10.5,
2003-01,4.0,
2003-04,11.1,
2003-07,22.6,
2003-10,-1.4,
2004-01,0.0,
2004-04,9.2,
2004-07,3.0,
2004-10,-13.0,
2005-01,10.8,
2005-04,6.5,
2005-07,9.5,
2005-10,5.9,
2006-01,4.0,
2006-04,21.3,
2006-07,9.8,
2006-10,-2.8,
2007-01,9.4,
2007-04,-1.4,
2007-07,-8.0,
2007-10,-1.5,
2008-01,1.9,
2008-04,4.8,
2008-07,7.4,
2008-10,-4.1,
2009-01,19.7,
2009-04,13.3,
2009-07,18.5,
2009-10,13.1,
2010-01,12.7,
2010-04,29.3,
2010-07,9.7,
2010-10,-3.9,
2011-01,-2.5,
2011-04,-3.4,
2011-07,-8.1,
2011-10,4.1,
2012-01,7.0,
2012-04,17.7,
2012-07,12.0,
2012-10,1.3,
2013-01,11.3,
2013-04,13.0,
2013-07,6.3,
2013-10,10.0,
2014-01,19.9,
