"",BBSF2.M.1.S.00000.GEM01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:51,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,761,
1993-05,680,
1993-06,806,
1993-07,892,
1993-08,688,
1993-09,361,
1993-10,1012,
1993-11,956,
1993-12,2621,
1994-01,2141,
1994-02,1868,
1994-03,790,
1994-04,2574,
1994-05,1042,
1994-06,694,
1994-07,975,
1994-08,601,
1994-09,365,
1994-10,1863,
1994-11,282,
1994-12,2967,
1995-01,2812,
1995-02,1190,
1995-03,537,
1995-04,670,
1995-05,703,
1995-06,615,
1995-07,841,
1995-08,553,
1995-09,1726,
1995-10,715,
1995-11,1634,
1995-12,3891,
1996-01,2922,
1996-02,3135,
1996-03,1854,
1996-04,1773,
1996-05,926,
1996-06,1790,
1996-07,1691,
1996-08,1163,
1996-09,1015,
1996-10,1941,
1996-11,1774,
1996-12,4196,
1997-01,3804,
1997-02,3346,
1997-03,2597,
1997-04,2415,
1997-05,1147,
1997-06,4832,
1997-07,3902,
1997-08,4224,
1997-09,2708,
1997-10,3788,
1997-11,1476,
1997-12,9340,
1998-01,6701,
1998-02,4156,
1998-03,3745,
1998-04,3880,
1998-05,2912,
1998-06,3922,
1998-07,5323,
1998-08,4264,
1998-09,4101,
1998-10,2841,
1998-11,2343,
1998-12,10619,
1999-01,5251,
1999-02,3666,
1999-03,4137,
1999-04,4245,
1999-05,6046,
1999-06,3327,
1999-07,3548,
1999-08,3205,
1999-09,2146,
1999-10,3731,
1999-11,3393,
1999-12,16846,
2000-01,7964,
2000-02,3638,
2000-03,2838,
2000-04,5458,
2000-05,3503,
2000-06,3033,
2000-07,3317,
2000-08,2892,
2000-09,3691,
2000-10,3325,
2000-11,4186,
2000-12,13016,
2001-01,4762,
2001-02,5431,
2001-03,4550,
2001-04,2590,
2001-05,2565,
2001-06,3105,
2001-07,3985,
2001-08,2553,
2001-09,1996,
2001-10,4583,
2001-11,4372,
2001-12,15725,
2002-01,5169,
2002-02,3678,
2002-03,4054,
2002-04,5366,
2002-05,4330,
2002-06,4600,
2002-07,4701,
2002-08,3050,
2002-09,3364,
2002-10,3797,
2002-11,6193,
2002-12,11460,
2003-01,5861,
2003-02,4284,
2003-03,7575,
2003-04,4281,
2003-05,4873,
2003-06,3303,
2003-07,3395,
2003-08,3991,
2003-09,6345,
2003-10,3520,
2003-11,2442,
2003-12,12146,
2004-01,7816,
2004-02,3166,
2004-03,3927,
2004-04,3648,
2004-05,2085,
2004-06,3657,
2004-07,3266,
2004-08,2568,
2004-09,6693,
2004-10,4732,
2004-11,5212,
2004-12,11321,
2005-01,3707,
2005-02,3423,
2005-03,3830,
2005-04,4503,
2005-05,2952,
2005-06,4367,
2005-07,3519,
2005-08,6873,
2005-09,3725,
2005-10,5311,
2005-11,4207,
2005-12,14110,
2006-01,9896,
2006-02,6210,
2006-03,6198,
2006-04,3038,
2006-05,3941,
2006-06,3381,
2006-07,7913,
2006-08,9959,
2006-09,3805,
2006-10,3007,
2006-11,3852,
2006-12,11257,
2007-01,4884,
2007-02,5073,
2007-03,2861,
2007-04,5296,
2007-05,3462,
2007-06,4125,
2007-07,2121,
2007-08,3834,
2007-09,2230,
2007-10,3619,
2007-11,4910,
2007-12,7148,
2008-01,4124,
2008-02,2857,
2008-03,3872,
2008-04,3779,
2008-05,2204,
2008-06,4875,
2008-07,3631,
2008-08,2743,
2008-09,5003,
2008-10,3298,
2008-11,3838,
2008-12,7489,
2009-01,3501,
2009-02,2767,
2009-03,5365,
2009-04,3093,
2009-05,4176,
2009-06,1727,
2009-07,3148,
2009-08,1900,
2009-09,4122,
2009-10,8433,
2009-11,4368,
2009-12,7929,
2010-01,6571,
2010-02,3298,
2010-03,3866,
2010-04,4106,
2010-05,2690,
2010-06,5509,
2010-07,5179,
2010-08,2496,
2010-09,2810,
2010-10,5024,
2010-11,2641,
2010-12,5933,
2011-01,3186,
2011-02,6423,
2011-03,2307,
2011-04,2631,
2011-05,1395,
2011-06,1735,
2011-07,1501,
2011-08,1263,
2011-09,1330,
2011-10,2714,
2011-11,6087,
2011-12,4482,
2012-01,3307,
2012-02,8202,
2012-03,4719,
2012-04,2573,
2012-05,2349,
2012-06,2896,
2012-07,2639,
2012-08,1629,
2012-09,3380,
2012-10,2985,
2012-11,8627,
2012-12,9006,
2013-01,4136,
2013-02,7397,
2013-03,6545,
2013-04,2563,
2013-05,4413,
2013-06,4506,
2013-07,4181,
2013-08,2751,
2013-09,1976,
2013-10,1800,
2013-11,3606,
2013-12,8196,
2014-01,4463,
2014-02,4463,
2014-03,3941,
2014-04,3808,
2014-05,3209,
2014-06,3822,
2014-07,7337,
2014-08,3972,
2014-09,4491,
2014-10,4187,
2014-11,3438,
