"",BBDE1.M.DE.Y.BAA1.A2P300000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2P300000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Industry / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:33,
1991-01,84.5,
1991-02,83.5,
1991-03,83.0,
1991-04,82.3,
1991-05,81.0,
1991-06,84.4,
1991-07,82.1,
1991-08,80.8,
1991-09,80.5,
1991-10,81.8,
1991-11,82.6,
1991-12,82.7,
1992-01,83.7,
1992-02,85.1,
1992-03,82.7,
1992-04,82.6,
1992-05,82.0,
1992-06,80.8,
1992-07,79.2,
1992-08,79.6,
1992-09,78.8,
1992-10,78.7,
1992-11,77.5,
1992-12,76.2,
1993-01,75.4,
1993-02,74.3,
1993-03,74.3,
1993-04,73.7,
1993-05,73.7,
1993-06,73.2,
1993-07,71.5,
1993-08,74.7,
1993-09,74.3,
1993-10,74.3,
1993-11,73.6,
1993-12,74.5,
1994-01,74.3,
1994-02,75.3,
1994-03,75.0,
1994-04,75.8,
1994-05,75.6,
1994-06,76.0,
1994-07,75.7,
1994-08,75.8,
1994-09,76.9,
1994-10,78.3,
1994-11,78.7,
1994-12,78.7,
1995-01,77.2,
1995-02,78.3,
1995-03,77.5,
1995-04,77.8,
1995-05,78.3,
1995-06,77.4,
1995-07,77.2,
1995-08,76.3,
1995-09,77.8,
1995-10,75.8,
1995-11,76.3,
1995-12,76.3,
1996-01,76.6,
1996-02,75.9,
1996-03,76.1,
1996-04,76.1,
1996-05,76.8,
1996-06,77.1,
1996-07,76.3,
1996-08,77.3,
1996-09,77.9,
1996-10,76.9,
1996-11,78.0,
1996-12,77.9,
1997-01,77.0,
1997-02,78.1,
1997-03,78.9,
1997-04,78.6,
1997-05,77.7,
1997-06,80.7,
1997-07,81.6,
1997-08,78.9,
1997-09,79.6,
1997-10,80.8,
1997-11,81.1,
1997-12,82.0,
1998-01,82.8,
1998-02,82.6,
1998-03,83.7,
1998-04,82.9,
1998-05,83.3,
1998-06,82.8,
1998-07,84.5,
1998-08,82.6,
1998-09,82.0,
1998-10,82.6,
1998-11,81.5,
1998-12,81.9,
1999-01,83.2,
1999-02,81.6,
1999-03,82.1,
1999-04,82.7,
1999-05,83.2,
1999-06,83.3,
1999-07,83.9,
1999-08,84.7,
1999-09,84.4,
1999-10,85.2,
1999-11,85.2,
1999-12,85.3,
2000-01,84.6,
2000-02,86.7,
2000-03,86.8,
2000-04,87.9,
2000-05,90.0,
2000-06,88.0,
2000-07,89.5,
2000-08,90.3,
2000-09,90.4,
2000-10,90.2,
2000-11,90.8,
2000-12,91.5,
2001-01,91.2,
2001-02,92.2,
2001-03,90.7,
2001-04,89.1,
2001-05,90.1,
2001-06,90.5,
2001-07,87.8,
2001-08,90.2,
2001-09,89.0,
2001-10,87.5,
2001-11,86.4,
2001-12,86.9,
2002-01,87.4,
2002-02,87.6,
2002-03,87.8,
2002-04,87.9,
2002-05,87.0,
2002-06,89.5,
2002-07,87.8,
2002-08,89.8,
2002-09,88.7,
2002-10,88.0,
2002-11,89.6,
2002-12,88.0,
2003-01,88.7,
2003-02,88.7,
2003-03,88.5,
2003-04,88.2,
2003-05,87.5,
2003-06,87.1,
2003-07,89.2,
2003-08,87.0,
2003-09,86.7,
2003-10,89.4,
2003-11,90.2,
2003-12,90.6,
