"",BBDE1.M.DE.Y.AEB5.A2R240050.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2R240050.F.C.I10.A_FLAGS
"","Orders received from abroad / At constant prices / Germany / 24+25 Manufacture of basic metals and fabricated metal products, except machinery and equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:19,
1991-01,60.1,
1991-02,60.1,
1991-03,62.0,
1991-04,58.2,
1991-05,57.9,
1991-06,57.8,
1991-07,58.8,
1991-08,60.2,
1991-09,59.1,
1991-10,59.5,
1991-11,60.4,
1991-12,59.6,
1992-01,59.0,
1992-02,59.0,
1992-03,60.3,
1992-04,60.0,
1992-05,57.1,
1992-06,57.7,
1992-07,55.8,
1992-08,56.1,
1992-09,53.8,
1992-10,50.5,
1992-11,52.4,
1992-12,53.2,
1993-01,56.0,
1993-02,55.1,
1993-03,53.7,
1993-04,57.2,
1993-05,56.4,
1993-06,59.4,
1993-07,57.8,
1993-08,54.2,
1993-09,57.3,
1993-10,56.8,
1993-11,57.1,
1993-12,60.4,
1994-01,59.7,
1994-02,62.7,
1994-03,63.9,
1994-04,63.9,
1994-05,66.7,
1994-06,65.5,
1994-07,63.1,
1994-08,62.1,
1994-09,66.1,
1994-10,68.0,
1994-11,70.7,
1994-12,69.5,
1995-01,63.8,
1995-02,65.4,
1995-03,65.8,
1995-04,62.6,
1995-05,62.1,
1995-06,63.7,
1995-07,62.3,
1995-08,60.3,
1995-09,61.7,
1995-10,61.9,
1995-11,59.4,
1995-12,61.7,
1996-01,64.0,
1996-02,65.4,
1996-03,64.9,
1996-04,63.7,
1996-05,63.4,
1996-06,66.8,
1996-07,69.5,
1996-08,69.0,
1996-09,67.1,
1996-10,72.5,
1996-11,70.5,
1996-12,69.5,
1997-01,72.0,
1997-02,78.0,
1997-03,71.7,
1997-04,73.4,
1997-05,71.3,
1997-06,75.1,
1997-07,75.7,
1997-08,78.7,
1997-09,79.7,
1997-10,80.2,
1997-11,79.3,
1997-12,78.4,
1998-01,77.3,
1998-02,76.6,
1998-03,75.4,
1998-04,73.7,
1998-05,72.2,
1998-06,79.8,
1998-07,70.0,
1998-08,69.2,
1998-09,72.1,
1998-10,68.3,
1998-11,70.3,
1998-12,69.4,
1999-01,71.6,
1999-02,69.2,
1999-03,72.2,
1999-04,72.7,
1999-05,75.2,
1999-06,78.2,
1999-07,76.9,
1999-08,81.4,
1999-09,86.8,
1999-10,81.1,
1999-11,82.2,
1999-12,86.1,
2000-01,76.4,
2000-02,80.9,
2000-03,84.8,
2000-04,81.5,
2000-05,84.3,
2000-06,83.2,
2000-07,85.4,
2000-08,86.9,
2000-09,82.0,
2000-10,89.4,
2000-11,82.6,
2000-12,89.9,
2001-01,82.4,
2001-02,82.1,
2001-03,82.9,
2001-04,81.5,
2001-05,84.2,
2001-06,81.3,
2001-07,83.7,
2001-08,85.2,
2001-09,81.2,
2001-10,81.8,
2001-11,80.1,
2001-12,84.6,
2002-01,84.2,
2002-02,85.6,
2002-03,82.3,
2002-04,88.1,
2002-05,95.5,
2002-06,90.9,
2002-07,91.8,
2002-08,87.2,
2002-09,87.3,
2002-10,88.5,
2002-11,88.7,
2002-12,84.8,
2003-01,89.0,
2003-02,86.2,
2003-03,87.0,
2003-04,85.6,
2003-05,86.3,
2003-06,88.0,
2003-07,89.9,
2003-08,89.8,
2003-09,91.4,
2003-10,94.0,
2003-11,95.9,
2003-12,105.8,
2004-01,99.9,
2004-02,97.0,
2004-03,97.9,
2004-04,99.2,
2004-05,99.1,
2004-06,95.5,
2004-07,95.4,
2004-08,97.5,
2004-09,99.2,
2004-10,90.7,
2004-11,92.1,
2004-12,92.3,
2005-01,92.5,
2005-02,94.0,
2005-03,93.5,
2005-04,95.5,
2005-05,94.8,
2005-06,97.7,
2005-07,111.0,
2005-08,100.8,
2005-09,106.1,
2005-10,107.4,
2005-11,107.1,
2005-12,107.5,
2006-01,104.5,
2006-02,108.9,
2006-03,109.0,
2006-04,110.5,
2006-05,113.0,
2006-06,114.8,
2006-07,116.6,
2006-08,117.4,
2006-09,112.0,
2006-10,110.4,
2006-11,115.3,
2006-12,114.2,
2007-01,112.2,
2007-02,116.2,
2007-03,119.5,
2007-04,115.0,
2007-05,118.7,
2007-06,115.0,
2007-07,116.5,
2007-08,117.1,
2007-09,119.9,
2007-10,126.1,
2007-11,121.9,
2007-12,126.7,
2008-01,121.1,
2008-02,122.5,
2008-03,118.8,
2008-04,120.0,
2008-05,123.9,
2008-06,116.8,
2008-07,113.8,
2008-08,112.6,
2008-09,104.8,
2008-10,98.5,
2008-11,84.8,
2008-12,81.3,
2009-01,68.9,
2009-02,67.4,
2009-03,65.6,
2009-04,75.3,
2009-05,81.4,
2009-06,86.8,
2009-07,85.4,
2009-08,90.5,
2009-09,93.6,
2009-10,85.1,
2009-11,90.5,
2009-12,86.4,
2010-01,91.0,
2010-02,96.7,
2010-03,98.6,
2010-04,100.8,
2010-05,99.1,
2010-06,99.9,
2010-07,100.5,
2010-08,98.8,
2010-09,101.7,
2010-10,99.5,
2010-11,102.6,
2010-12,107.0,
2011-01,109.4,
2011-02,104.3,
2011-03,108.5,
2011-04,102.8,
2011-05,105.1,
2011-06,109.0,
2011-07,102.8,
2011-08,108.8,
2011-09,103.9,
2011-10,106.9,
2011-11,97.9,
2011-12,110.9,
2012-01,103.5,
2012-02,108.4,
2012-03,102.8,
2012-04,100.1,
2012-05,102.7,
2012-06,104.1,
2012-07,102.0,
2012-08,107.4,
2012-09,93.6,
2012-10,103.2,
2012-11,103.8,
2012-12,108.0,
2013-01,94.6,
2013-02,101.0,
2013-03,99.6,
2013-04,103.7,
2013-05,102.9,
2013-06,109.0,
2013-07,104.7,
2013-08,107.1,
2013-09,102.8,
2013-10,105.8,
2013-11,102.4,
2013-12,107.3,
2014-01,103.7,
2014-02,110.8,
2014-03,112.7,
2014-04,107.7,
2014-05,106.1,
2014-06,105.8,
2014-07,109.5,
2014-08,109.4,
2014-09,115.2,
2014-10,116.9,
2014-11,105.8,
2014-12,110.7,Provisional value
