"",BBEX3.A.BHD.USD.CA.AA.A04,BBEX3.A.BHD.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in Bahrain / USD 1 = BHD ... (buying),
unit,BHD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:12:57,
1996,0.37400,
1997,0.37400,
1998,0.37400,
1999,0.37400,
2000,0.37400,
2001,0.37400,
2002,0.37400,
2003,0.37400,
2004,0.37400,
2005,0.37400,
2006,0.37400,
2007,0.37400,
2008,0.37400,
2009,0.37425,
2010,0.37425,
2011,0.37425,
2012,0.37425,
2013,0.37425,
2014,0.37425,
"",General: The Bahraini dinar is pegged to the US dollar.,
"","Source: Since 2009: National Bank of Bahrain, Manama. 1996 - 2008: The British Bank of the Middle East, Manama.",
"",Methodology: Calculated on the basis of month-end rates.,
