"",BBFN1.M.DE.N.1.L.W1.S1P.H2.T.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H2.T.N000.EUR.BGA.X001.D_FLAGS
2006-02,28.844,
2006-03,29.445,
2006-04,29.716,
2006-05,30.170,
2006-06,30.455,
2006-07,31.781,
2006-08,32.490,
2006-09,32.569,
2006-10,33.079,
2006-11,32.882,
2006-12,32.490,
2007-01,33.590,
2007-02,34.524,
2007-03,35.364,
2007-04,36.823,
2007-05,36.900,
2007-06,37.785,
2007-07,39.674,
2007-08,41.039,
2007-09,40.862,
2007-10,41.713,
2007-11,42.147,
2007-12,41.641,
2008-01,42.610,
2008-02,44.082,
2008-03,44.899,
2008-04,46.136,
2008-05,46.451,
2008-06,46.430,
2008-07,47.288,
2008-08,47.551,
2008-09,48.244,
2008-10,48.904,
2008-11,48.463,
2008-12,46.632,
2009-01,47.610,
2009-02,47.486,
2009-03,47.650,
2009-04,47.858,
2009-05,47.732,
2009-06,47.957,
2009-07,48.991,
2009-08,49.798,
2009-09,48.657,
2009-10,49.081,
2009-11,48.836,
2009-12,47.844,
2010-01,48.536,
2010-02,48.894,
2010-03,49.250,
2010-04,49.824,
2010-05,49.766,
2010-06,49.917,
2010-07,50.140,
2010-08,50.486,
2010-09,50.316,
2010-10,51.539,
2010-11,50.721,
2010-12,51.359,
2011-01,53.546,
2011-02,54.263,
2011-03,54.572,
2011-04,55.593,
2011-05,56.318,
2011-06,55.885,
2011-07,56.262,
2011-08,56.824,
2011-09,56.836,
2011-10,57.287,
2011-11,56.954,
2011-12,56.069,
2012-01,57.183,
2012-02,57.051,
2012-03,56.399,
2012-04,57.847,
2012-05,57.966,
2012-06,57.293,
2012-07,57.827,
2012-08,58.322,
2012-09,59.885,
2012-10,59.518,
2012-11,59.233,
2012-12,59.306,
2013-01,60.317,
2013-02,60.240,
2013-03,60.545,
2013-04,61.226,
2013-05,60.608,
2013-06,59.530,
2013-07,57.258,
2013-08,57.931,
2013-09,58.021,
2013-10,59.880,
2013-11,59.523,
2013-12,57.870,
2014-01,56.660,
2014-02,57.783,
2014-03,57.067,
2014-04,57.497,
2014-05,57.337,
2014-06,57.870,
2014-07,58.313,
2014-08,58.794,
2014-09,57.926,
2014-10,57.233,
2014-11,57.144,
2014-12,55.928,
"","General: From January 1999, including national currencies of the euro-area member states.",
