"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.CH.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.CH.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Switzerland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:18,
2009-09,10673,
2009-10,10366,
2009-11,10425,
2009-12,10910,
2010-01,11243,
2010-02,11481,
2010-03,12146,
2010-04,11567,
2010-05,10942,
2010-06,11370,
2010-07,10987,
2010-08,11464,
2010-09,11541,
2010-10,11648,
2010-11,12286,
2010-12,13233,
2011-01,12382,
2011-02,12189,
2011-03,11679,
2011-04,12190,
2011-05,12873,
2011-06,12192,
2011-07,12154,
2011-08,11239,
2011-09,10756,
2011-10,15827,
2011-11,11446,
2011-12,11901,
2012-01,12380,
2012-02,12596,
2012-03,12907,
2012-04,12803,
2012-05,12281,
2012-06,12399,
2012-07,13103,
2012-08,13162,
2012-09,12292,
2012-10,12424,
2012-11,12576,
2012-12,12679,
2013-01,13161,
2013-02,13675,
2013-03,14166,
2013-04,14293,
2013-05,14088,
2013-06,13903,
2013-07,14319,
2013-08,14435,
2013-09,15057,
2013-10,15574,
2013-11,15632,
2013-12,15684,
2014-01,15712,
2014-02,16492,
2014-03,16309,
2014-04,16277,
2014-05,16878,
2014-06,16717,
2014-07,16606,
2014-08,17101,
2014-09,17307,
2014-10,17352,
2014-11,17810,
