"",BBK01.OEXJ01N,BBK01.OEXJ01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:25,
2002-01,19.427,
2002-04,19.459,
2002-07,19.714,
2002-10,21.989,
2003-01,22.965,
2003-04,21.564,
2003-07,20.872,
2003-10,23.610,
2004-01,24.162,
2004-04,22.487,
2004-07,22.836,
2004-10,12.185,
2005-01,13.028,
2005-04,15.906,
2005-07,14.626,
2005-10,14.873,
2006-01,14.424,
2006-04,15.283,
2006-07,15.110,
2006-10,16.351,
2007-01,17.428,
2007-04,17.970,
2007-07,19.354,
2007-10,18.242,
2008-01,19.218,
2008-04,19.432,
2008-07,20.168,
2008-10,19.397,
2009-01,19.891,
2009-04,18.923,
2009-07,19.700,
2009-10,19.050,
2010-01,20.720,
2010-04,20.259,
2010-07,20.801,
2010-10,20.581,
2011-01,21.783,
2011-04,22.133,
2011-07,22.631,
2011-10,23.181,
2012-01,23.001,
2012-04,23.766,
2012-07,22.598,
2012-10,21.950,
2013-01,27.524,
2013-04,28.583,
2013-07,27.787,
2013-10,27.434,
2014-01,29.962,
2014-04,27.547,
2014-07,31.778,
