"",BBK01.OEAL06S,BBK01.OEAL06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:31,
2002-01,1.470,
2002-04,1.505,
2002-07,1.515,
2002-10,1.512,
2003-01,1.489,
2003-04,1.470,
2003-07,1.472,
2003-10,1.505,
2004-01,1.534,
2004-04,1.541,
2004-07,1.527,
2004-10,1.542,
2005-01,1.518,
2005-04,1.509,
2005-07,1.437,
2005-10,1.391,
2006-01,1.326,
2006-04,1.301,
2006-07,1.294,
2006-10,1.264,
2007-01,1.240,
2007-04,1.235,
2007-07,1.249,
2007-10,1.263,
2008-01,1.272,
2008-04,1.266,
2008-07,1.289,
2008-10,1.318,
2009-01,1.271,
2009-04,1.221,
2009-07,1.117,
2009-10,1.061,
2010-01,0.989,
2010-04,0.919,
2010-07,0.901,
2010-10,0.872,
2011-01,0.872,
2011-04,0.899,
2011-07,0.886,
2011-10,0.921,
2012-01,0.930,
2012-04,0.934,
2012-07,0.920,
2012-10,0.865,
2013-01,0.840,
2013-04,0.813,
2013-07,0.788,
2013-10,0.768,
2014-01,0.730,
2014-04,0.695,
2014-07,0.660,
